district,Target No. of Projects,CY SANCTION A/C No.,CY SANCTION AMT.,CY DISBURSED A/C No.,CY DISBURSED AMT.
Baksa,167,21,32.23,24,25.6
Barpeta,233,12,34.19,64,58.77
Biswanath,167,6,19.38,10,13.74
Bongaigaon,167,7,12.87,34,36.09
Cachar,167,24,87.31,33,46.96
Charaideo,167,3,9.54,11,27.46
Chirang,167,8,8.82,9,7.94
Darrang,167,6,11.35,17,13.24
Dhemaji,193,16,40.99,19,28.79
Dhubri,167,9,14.56,75,95.2
Dibrugarh,233,34,88.98,63,88.14
Dima Hasao,137,6,13.5,9,13.4
Goalpara,167,5,9.78,221,107.65
Golaghat,176,3,3.16,3,3.14
Hailakandi,137,3,7.6,6,7.8
Hojai,167,1,2.75,7,4.83
Jorhat,233,10,32.11,17,33.45
Kamrup Metro,233,29,38.86,37,34.06
Karbi Anglong,137,12,28.5,25,17.99
Karimganj,147,18,28.73,19,21.79
Kokrajhar,176,42,61.62,80,65.12
Lakhimpur,176,7,13.43,21,30.86
Majuli,167,0,0,0,0
Morigaon,233,7,15.26,8,15.26
Nagaon,233,32,60.79,32,51.55
Nalbari,233,13,27.81,13,20.18
Sivasagar,176,12,25.82,15,23.05
Sonitpur,176,49,118.81,98,112.8
South Salmara,137,2,0,4,0.52
Tinsukia,176,24,31.61,63,24.84
Udalguri,167,2,2.86,7,5.14
West Karbi Anglong,127,0,0,0,0
