District,Inactive BC,RuPay card active in PMJDY,First time active RuPay card,Aadhaar Authenticated Sb accounts,RuPay card issued in KCC
Baksa,19,307466,290056,77222,16065
Barpeta,33,534841,422337,27064,24152
Biswanath,2,85265,71434,9446,14095
Bongaigaon,5,183684,155916,15206,6657
Cachar,49,255917,193924,33572,17026
Charaideo,4,46193,42213,732,6957
Chirang,30,181051,147556,5287,13278
Darrang,27,232599,191349,15676,19037
Dhemaji,16,267609,261254,14461,12858
Dhubri,27,462854,424566,31516,14862
Dibrugarh,92,235578,192101,28385,31235
Dima Hasao,6,28716,18389,19497,186
Goalpara,28,246504,216487,10323,18185
Golaghat,21,164778,141292,23760,30167
Hailakandi,37,122562,105477,14826,7472
Hojai,18,185167,171452,39518,8201
Jorhat,39,137997,111002,22862,23198
Kamrup Metro,71,382875,272974,31705,39041
Karbi Anglong,14,58806,53898,29003,3101
Karimganj,19,148912,137744,17912,7244
Kokrajhar,10,225311,191394,16959,14242
Lakhimpur,4,291042,273107,18297,20209
Majuli,21,26596,26285,1929,3615
Morigaon,11,147059,102800,19731,15601
Nagaon,118,516104,462285,194977,31432
Nalbari,23,140337,117175,26274,16882
Sivasagar,10,136131,118990,13168,14536
Sonitpur,49,308153,249468,66780,17230
South Salmara,14,24587,18667,5412,1834
Tinsukia,57,199595,145288,16297,19008
Udalguri,41,263925,237136,10404,14453
West Karbi Anglong,5,28702,28290,6208,521
