District,Rural No.,Urban No.,Male No.,Female No.,No. of Zero Balance A/C,Amt. Deposits held in the A/C,No. of Rupay Card Issued,No. of Rupay Card Activated,No. of Aadhaar Seeded
Baksa,2349241,1318406,1720588,1946956,223907,243954.94,2387728,2248347,101143
Barpeta,793834,194680,438568,584760,93010,61231.4,645941,485740,8179
Biswanath,234756,22546,102695,161588,21455,8681.81,106237,65595,1006
Bongaigaon,189075,104375,118513,176316,19735,11866.33,231392,168752,4380
Cachar,437543,102336,246255,298070,34802,19372.43,332639,222083,7323
Charaideo,115923,23989,55798,100456,12480,5691.96,91268,41139,198
Chirang,280528,25692,127384,189139,27004,8348.45,229537,155571,854
Darrang,390181,160311,246074,367188,71192,23367.09,310092,209996,3745
Dhemaji,470458,58895,219632,313593,30403,11390.53,346950,249858,2380
Dhubri,746896,196654,404036,608845,108995,21935.73,600047,414692,11140
Dibrugarh,291866,100359,157097,237850,31935,17762.28,283117,184604,6379
Dima Hasao,26992,8160,14547,20609,655,1253.09,20823,15069,1915
Goalpara,344327,164503,200687,313157,38042,10607.76,321606,214407,2118
Golaghat,354211,41878,157930,239714,25844,15036.47,209854,131174,8266
Hailakandi,220638,65688,129064,162373,20378,18306.59,171967,110466,5186
Hojai,183961,148705,137712,196168,24196,15224.91,261049,159987,26010
Jorhat,155480,70935,86082,141730,17425,15821.88,154466,101522,2136
Kamrup Metro,625545,71482,294261,408184,50726,20432.03,538807,322342,6799
Karbi Anglong,101459,28579,54355,75883,3777,3704.1,62955,47039,2692
Karimganj,343015,33596,169628,208505,32394,14847.63,203205,128276,3021
Kokrajhar,357165,126036,205452,280024,48644,15523.45,280955,199479,2757
Lakhimpur,391326,148322,226785,314141,24846,14954.62,378124,270282,4593
Majuli,67030,0,25777,41238,6741,1277.92,30717,23615,116
Morigaon,251383,98601,137694,214717,17584,21492.06,256859,127714,7477
Nagaon,1015428,214878,523911,706591,120904,35476.74,711698,455142,144669
Nalbari,263934,69193,136247,205056,29481,14942.74,189499,118918,4428
Sivasagar,166482,36047,82403,125655,12132,13544.74,170767,105671,2667
Sonitpur,350467,155812,211392,328257,49710,17691.2,366266,272709,26535
South Salmara,70425,19194,44877,72487,24420,1022.3,24931,18891,97
Tinsukia,227723,114848,138206,206579,31091,39371.79,223833,155236,3867
Udalguri,414398,101526,219031,313409,69253,12723.59,312652,236814,2906
West Karbi Anglong,68769,0,27191,41567,2629,3175.22,32525,22378,2916
