District,Number of operative CASA,Number of Aadhaar seeded CASA,Number of Authenticated CASA
Baksa,826436,11993,28085
Barpeta,1534975,30421,74250
Biswanath,553279,8456,48175
Bongaigaon,595855,18895,69837
Cachar,1468420,41779,483145
Charaideo,297790,1262,30224
Chirang,498514,5831,25076
Darrang,1006514,18438,98331
Dhemaji,919563,11385,102103
Dhubri,1693702,35950,250506
Dibrugarh,1247819,39799,245857
Dima Hasao,172549,19594,47196
Goalpara,891966,11654,63135
Golaghat,1094193,46545,299248
Hailakandi,650638,16510,179370
Hojai,711506,48201,170032
Jorhat,1032397,31628,340742
Kamrup Metro,1494303,50766,108520
Karbi Anglong,500544,30772,39336
Karimganj,999245,20735,347593
Kokrajhar,798834,18398,23844
Lakhimpur,1063159,24052,218603
Majuli,148584,2087,19907
Morigaon,1054439,25699,427794
Nagaon,2329174,236210,613412
Nalbari,749846,29218,57423
Sivasagar,851068,19987,276314
Sonitpur,1133038,89349,159385
South Salmara,153613,4722,5709
Tinsukia,1114757,29838,295683
Udalguri,754119,10380,19540
West Karbi Anglong,191076,6076,5896
