district,O/S No.,O/S Amt.,Disbursement No.,Disbursement Amt.
Baksa,26941,14595.81,1141,1150.8
Barpeta,152736,72155.23,4352,3505.68
Biswanath,57070,27889.74,1803,1234.99
Bongaigaon,68391,37842.18,3251,2115.96
Cachar,165174,99605.42,11483,8896.26
Charaideo,23028,12291.26,736,720.65
Chirang,28124,18005.68,1495,1085.67
Darrang,70419,33642.68,2271,1573.49
Dhemaji,50454,27620.88,1918,1620.41
Dhubri,130258,68830.83,8409,5441.61
Dibrugarh,157117,99836.18,5798,8678.66
Dima Hasao,4456,7648.98,311,468.38
Goalpara,51167,26140.53,1699,1186.8
Golaghat,152077,67039.08,5533,3698.96
Hailakandi,27633,15565.22,2001,967.36
Hojai,60530,29229.71,2753,1543.18
Jorhat,177103,89497.57,6017,16251.06
Kamrup Metro,241678,113709.8,7836,5403.05
Karbi Anglong,32328,22792.5,2105,2160.37
Karimganj,93781,44499.74,5799,2949.19
Kokrajhar,10494,13539.32,608,686.67
Lakhimpur,117300,59213.2,3564,2733.51
Majuli,4531,1876.48,145,97.89
Morigaon,97886,46655.4,3664,2077.25
Nagaon,215000,105070.25,8190,6498.76
Nalbari,85374,35707.39,2355,3914.97
Sivasagar,117980,68671.53,3988,6416.35
Sonitpur,140803,75040.13,5547,11641.92
South Salmara,784,689.13,40,25.81
Tinsukia,107599,67115.18,3888,6547.76
Udalguri,24376,16078.84,1293,887.02
West Karbi Anglong,5718,4873.99,297,398.35
