district,NRLM OS NO,NRLM OS AMT,NRLM Irregular A/C No,NRLM Irregular A/C Amt,NRLM NPA NO,NRLM NPA AMT,NULM OS NO,NULM OS AMT,NULM NPA NO,NULM NPA AMT,PMEGP OS NO,PMEGP OS AMT,PMEGP NPA NO,PMEGP NPA AMT,SHG OS NO,SHG OS AMT,SHG NPA NO,SHG NPA AMT,SUI OS NO,SUI OS AMT,SUI NPA NO,SUI NPA AMT
Baksa,6889,4907.34,781,831.14,281,247.88,0,0,0,0,6102,6924.28,3292,3292.91,6052,4358.07,2898,1727.55,301,2775.16,28,248.54
Barpeta,1929,1589.04,178,156.71,208,167.11,8,6.32,3,0.68,1017,1592.94,570,928.25,4006,3251.46,1538,1042.42,29,463.33,1,27
Biswanath,2315,1927.26,324,211.79,215,178.25,7,5.86,1,0.43,291,453.69,178,265.14,4096,3008.17,1894,986.87,17,340.86,0,0
Bongaigaon,816,922.16,189,217.06,20,13.88,76,48.09,2,1.02,560,739.62,429,556.65,1233,1192.03,167,69.92,28,484.1,2,10
Cachar,729,611.06,94,63.22,32,12,43,31.51,1,1.23,789,1184.57,435,657.21,1872,1218.19,1138,622.7,37,367.69,0,0
Charaideo,946,698.49,126,85.04,113,41.65,8,5.2,0,0,196,429.23,94,200.06,1381,1037.65,286,169.63,9,102.06,0,0
Chirang,1361,1260.44,155,93.77,61,24.93,28,30.46,0,0,1569,1970.17,1008,1228.86,2041,1774.2,655,540.33,10,264.23,0,0
Darrang,1120,1224.13,125,194.25,148,138.48,8,3.95,0,0,879,1348.14,622,942.39,3065,2650.85,1398,923.04,23,285.26,3,39.99
Dhemaji,1726,1113.43,116,58.1,249,82.72,17,17.12,0,0,704,1524.9,307,525.75,2734,1725.82,1061,477.34,3,43.08,0,0
Dhubri,867,681.22,58,37.18,209,39.09,93,115.48,66,89.15,1381,1614.46,670,725.72,1832,1063.1,1240,582.22,17,370.5,0,0
Dibrugarh,1956,1607.78,265,162.31,169,35.08,49,36.37,0,0,918,1609.99,499,825.06,2330,1787.87,437,181.63,89,1685.18,4,51.01
Dima Hasao,126,100.04,98,85.42,9,4.82,0,0,0,0,194,282.06,10,8.05,775,418.44,6,3.04,11,113.07,0,0
Goalpara,1410,900.05,229,124.17,150,61.97,11,18.62,0,0,953,1192.5,555,746.46,2570,1670.63,1171,600.77,13,156.66,0,0
Golaghat,1741,2107.44,209,143.6,51,25.61,111,147.74,0,0,545,938.6,386,637.71,2595,2752.2,566,271.12,23,361.86,0,0
Hailakandi,740,465.95,59,44.42,129,32.58,13,16.17,1,1.76,458,620.74,283,374.76,1262,785.59,716,320.93,8,90.86,0,0
Hojai,788,614.98,82,72.64,97,39.32,3,1,0,0,148,304.38,21,39.29,929,790.18,251,143.62,4,20.12,0,0
Jorhat,1888,1916.9,160,72.45,35,26.22,127,97.9,0,0,491,849.49,268,388.83,2234,2072.98,632,436.06,60,933.77,0,0
Kamrup Metro,2340,2008.02,140,112.58,552,438.87,15,10.53,0,0,1196,1641.08,763,1009.18,4293,3339.54,2168,1423.18,37,428.8,0,0
Karbi Anglong,1354,864.09,819,532.91,226,111.25,3,9.82,0,0,264,234.44,121,52.34,3422,1369.24,212,106.16,14,185.57,0,0
Karimganj,573,367.31,87,47.35,85,30.75,29,21.96,0,0,396,588.13,136,200.12,1859,949.12,1338,587.42,5,53.06,0,0
Kokrajhar,642,473.86,66,41.63,80,26.2,17,6.13,0,0,1949,2350.99,1378,1636.19,1487,1264.3,817,722.15,11,264.94,0,0
Lakhimpur,2495,2031.7,177,128.24,371,155.63,116,120.77,2,1.23,600,1128.98,361,701.37,3344,2692.92,1075,632.1,25,444.87,0,0
Majuli,440,354.79,7,8.08,53,35.78,0,0,0,0,83,133.99,48,62.48,616,392.77,291,143.81,5,33.53,0,0
Morigaon,1345,1015.28,90,71.17,313,245,1,0.7,0,0,536,818.25,348,526.8,3285,2159.03,1634,1023.76,10,72.14,2,20.98
Nagaon,2781,2441.12,198,133.43,257,101.65,30,22.83,5,2.91,1031,1850.63,551,875.58,3618,3037.57,1143,686.15,42,445.93,5,31.09
Nalbari,2255,2691.59,362,410.88,141,75.96,74,77.69,1,1,1025,1648.35,666,1108.52,4538,4491.58,1066,518.51,18,257.25,0,0
Sivasagar,1162,1017.89,164,42.8,119,41,47,61.33,0,0,458,1106.87,192,415.07,1553,1340.18,427,329.24,43,788.52,0,0
Sonitpur,2411,2158,171,146.12,313,121.65,27,24.04,2,0.05,1019,1822.92,511,835.88,5044,3810.47,1961,910.73,34,535.88,4,38.26
South Salmara,219,109.28,38,44.02,141,29.1,0,0,0,0,383,433.09,320,387.09,283,142.77,200,62.2,0,0,0,0
Tinsukia,1942,1764.45,118,83.79,67,25.5,53,55.3,1,2,716,1125.13,349,517.27,2613,2095.03,380,180.34,46,638.85,0,0
Udalguri,1141,996.89,85,66.59,80,79.89,3,1.83,0,0,1728,2697.26,1334,2196.75,2166,1822.78,944,677.35,8,126.81,1,6.19
West Karbi Anglong,793,480.46,406,303.64,187,97.23,0,0,0,0,49,50.92,1,0.17,2334,982.88,185,97.23,0,0,0,0
