District,Christians No.,Christians Amt,Muslims No.,Muslims Amt,Buddhists No.,Buddhists Amt,Sikhs No.,Sikhs Amt,Zoroastrians No.,Zoroastrians Amt,Jains No.,Jains Amt,Tot Minority Disb No.
Baksa,48,17,,1093.19,2,0,2,0,0,0,4,2.13,1112.3200000000002
Barpeta,10,5.53,,3309.5,2,0.3,1,0,0,0,0,0,3315.3300000000004
Biswanath,50,42.05,,674.64,3,1.1,15,11.06,0,0,7,15.3,744.1499999999999
Bongaigaon,111,55.17,,1602.51,8,2.2,3,0.75,0,0,4,12.27,1672.9
Cachar,562,229.54,,4410.65,5,11.91,6,4.18,0,0,5,0.4,4656.679999999999
Charaideo,2,1.1,,83.31,10,0,1,0.09,1,0,0,0,84.5
Chirang,144,47.39,,1058.03,2,0.12,4,0.82,0,0,0,0,1106.36
Darrang,28,2.73,,1982.99,4,1.4,1,0,0,0,1,0.98,1988.1000000000001
Dhemaji,13,13.88,,46.89,3,0.09,1,0,0,0,3,6.5,67.36000000000001
Dhubri,164,53.3,,5401.51,0,0,1,0,1,0.4,7,0.52,5455.7300000000005
Dibrugarh,237,97.92,,1315.45,55,26.13,70,58.49,0,0,27,134.18,1632.1700000000003
Dima Hasao,1567,438.53,,85.76,2,0,4,0,0,0,0,0,524.29
Goalpara,241,64.26,,1618.26,2,0.65,0,0,0,0,2,5.51,1688.68
Golaghat,206,25.89,,708.46,29,3.45,11,5.68,0,0,0,0,743.48
Hailakandi,43,13.74,,1661.92,0,0,1,1.5,0,0,0,0,1677.16
Hojai,46,9.93,,1065.9,1,0,8,0,0,0,0,0,1075.8300000000002
Jorhat,149,73.39,,831.34,55,35.27,25,22.04,1,0,17,141.57,1103.61
Kamrup Metro,156,71.83,,2666.56,10,1.86,16,17.26,0,0,7,35.94,2793.4500000000003
Karbi Anglong,375,264.6,,77.38,26,15.31,3,0.5,0,0,4,1.16,358.95000000000005
Karimganj,99,29.45,,2448.29,2,0.55,7,1.15,0,0,0,0,2479.44
Kokrajhar,178,239.18,,594.67,4,0,1,0.45,0,0,0,0,834.3
Lakhimpur,93,40.34,,1186.56,8,13.01,11,3.63,1,10,0,0,1253.54
Majuli,0,0,,9.12,2,2.05,0,0,0,0,0,0,11.169999999999998
Morigaon,23,15.71,,1074.92,0,0,1,0,0,0,2,3.81,1094.44
Nagaon,44,12.78,,4267.36,6,1.51,50,15.25,0,0,2,0.8,4297.7
Nalbari,7,1.82,,1309.71,0,0,2,0,0,0,0,0,1311.53
Sivasagar,56,15.57,,1126.81,16,8,6,2.64,2,0,6,25.1,1178.12
Sonitpur,195,70.17,,1060.82,27,21.95,19,13.64,0,0,1,0,1166.5800000000002
South Salmara,3,0.2,,235.42,0,0,0,0,0,0,0,0,235.61999999999998
Tinsukia,289,169.4,,526.85,94,27.43,38,89.41,0,0,10,112.84,925.93
Udalguri,2835,413.49,,309.98,5,1.42,1,0,0,0,1,0,724.89
West Karbi Anglong,85,71.57,,5.7,0,0,0,0,0,0,0,0,77.27
