district,Savings Linked No,Savings Linked Amount,Credit Linked No,Credit Linked Amount,CY Savings Linked No,CY Savings Linked Amount,CY Credit Linked No,CY Credit Linked Amount
Baksa,878,57.09,453,439.07,878,57.09,457,455.87
Barpeta,560,33.16,162,248.96,560,33.16,162,248.96
Biswanath,1075,177.78,258,330.54,1075,177.78,259,331.54
Bongaigaon,631,69.41,62,94.46,631,69.41,88,125.71
Cachar,425,34.17,62,77.33,425,34.17,71,136.48
Charaideo,188,12.55,68,107.44,188,12.55,70,118.14
Chirang,1068,48.38,101,106.2,1068,48.38,109,137.58
Darrang,699,41.01,94,152.29,699,41.01,110,161.03
Dhemaji,1161,58.78,186,259.75,1161,58.78,191,285.15
Dhubri,2718,117.49,57,97.58,2718,117.49,72,124.6
Dibrugarh,1474,104.13,88,103.38,1474,104.13,119,162.96
Dima Hasao,175,5.63,27,41,175,5.63,28,47
Goalpara,623,37.05,132,99.27,623,37.05,134,106.97
Golaghat,1325,199.08,127,247.49,1325,199.08,140,288.44
Hailakandi,480,52.33,9,11,480,52.33,14,38.5
Hojai,371,10.43,29,32,371,10.43,38,89.89
Jorhat,721,99.12,80,141.77,721,99.12,92,213.32
Kamrup Metro,696,30.37,155,201.32,696,30.37,163,237.82
Karbi Anglong,158,9.13,141,149.52,158,9.13,144,169.26
Karimganj,412,14.95,50,56.24,412,14.95,52,63.66
Kokrajhar,870,40.59,45,44.61,870,40.59,54,58.11
Lakhimpur,1350,96.67,313,466.64,1350,96.67,320,498.64
Majuli,59,1.92,17,43,59,1.92,18,45
Morigaon,596,25.74,71,90.5,596,25.74,72,100.5
Nagaon,3506,113.4,216,289.08,3506,113.4,236,340.59
Nalbari,520,46.15,213,421.89,520,46.15,227,471.69
Sivasagar,620,68.05,95,165.92,620,68.05,118,228.85
Sonitpur,1244,371.38,199,335.77,1244,371.38,236,417.47
South Salmara,4,0,1,1.3,4,0,1,1.3
Tinsukia,681,38.4,155,262.61,681,38.4,160,263.64
Udalguri,1110,62.33,64,92.85,1110,62.33,96,122.17
West Karbi Anglong,296,7.48,73,95,296,7.48,75,96
