District,Agriculture (NPS) No.,Agriculture (NPS) Amt,Msme (NPS) No.,Msme (NPS) Amt,Exp Credit (NPS) A/C,Exp Credit (NPS) Amt,Education (NPS) A/C,Education (NPS) Amt,Housing (NPS) A/C,Housing (NPS) Amt,Personal Loans under NPS A/C,Personal Loans under NPS Amt,Others NPS A/C,Others NPS Amt,Total Acp (NPS) Disb No.,Total Acp (NPS) Disb Amt
Baksa,2,0.39,0,0,0,0,0,0,199,610.45,62,115.56,92,100.16,355,826.5600000000001
Barpeta,0,0,0,0,0,0,0,0,490,658.02,133,393.21,847,1623.14,1470,2674.37
Biswanath,2,1.22,0,0,0,0,0,0,261,267.81,44,86.49,136,257.53,443,613.05
Bongaigaon,2,0.75,0,0,0,0,0,0,161,361.46,107,244.79,635,1481.7,905,2088.7
Cachar,9,4.21,2,2.77,0,0,0,0,183,521.1,317,664.23,3162,9331.22,3673,10523.529999999999
Charaideo,2,2.7,0,0,1,5.91,0,0,40,138.5,18,38.68,164,167.1,225,352.89
Chirang,16,9.39,0,0,2,3.49,0,0,87,274.29,57,124.09,288,192.79,450,604.05
Darrang,4,1.99,0,0,2,2.11,0,0,177,237.3,110,239.9,570,947.12,863,1428.42
Dhemaji,14,8.15,0,0,1,16.67,0,0,242,600.75,117,305.31,271,497.48,645,1428.3600000000001
Dhubri,10,4.58,0,0,1,4,0,0,387,880.15,107,213.68,364,535.29,869,1637.7
Dibrugarh,34,50.04,0,0,5,37.05,0,0,337,999.03,406,998.56,3167,33795.19,3949,35879.87
Dima Hasao,0,0,0,0,0,0,0,0,35,68.77,97,236.16,81,196.34,213,501.27
Goalpara,0,0,0,0,1,16.84,0,0,183,527.33,73,164.89,368,602.55,625,1311.6100000000001
Golaghat,9,7.28,0,0,0,0,1,3.71,389,675.43,140,328.3,934,1041.26,1473,2055.98
Hailakandi,7,1.97,0,0,0,0,0,0,210,163.93,29,70.71,245,384.87,491,621.48
Hojai,0,0,0,0,0,0,0,0,149,266.07,102,195.53,245,404.2,496,865.8
Jorhat,6,6,1,20.02,0,0,1,9.72,524,1282.74,307,674.43,2333,4086.82,3172,6079.73
Kamrup Metro,3,2.7,0,0,0,0,0,0,559,961.78,334,1026.16,1496,3419.09,2392,5409.7300000000005
Karbi Anglong,95,56.48,0,0,0,0,0,0,112,305.03,215,694.86,196,747.25,618,1803.62
Karimganj,0,0,0,0,0,0,0,0,106,160.7,85,167.11,473,765.56,664,1093.37
Kokrajhar,5,4.09,0,0,1,5.18,1,3.59,107,319.38,80,219.75,277,536.66,471,1088.65
Lakhimpur,8,7.06,0,0,0,0,0,0,492,1024.79,129,274.82,569,889.17,1198,2195.8399999999997
Majuli,0,0,0,0,0,0,0,0,20,43.31,35,68.06,9,5.88,64,117.25
Morigaon,1,0.57,0,0,0,0,0,0,106,204.98,109,205.47,216,408.97,432,819.99
Nagaon,64,31.5,2,2.85,0,0,0,0,568,1022.94,237,609.22,1472,2236.32,2343,3902.83
Nalbari,6,5.02,0,0,1,5.62,0,0,335,621.47,137,520.3,565,852.08,1044,2004.4899999999998
Sivasagar,15,20.7,0,0,0,0,0,0,210,774.06,233,605.94,2554,2077.33,3012,3478.0299999999997
Sonitpur,2,2.03,0,0,2,9.13,0,0,373,819.2,246,498.64,1993,2499.25,2616,3828.25
South Salmara,0,0,0,0,0,0,0,0,40,103.08,0,0,22,50.81,62,153.89
Tinsukia,25,3.31,2,0.65,0,0,1,1,296,482.06,280,619.27,1804,6276.23,2408,7382.5199999999995
Udalguri,6,2.76,0,0,0,0,0,0,234,300.92,65,106.86,122,140.67,427,551.21
West Karbi Anglong,0,0,0,0,0,0,1,0.67,42,75.88,63,173.34,17,37.07,123,286.96
