district,Export No,Export Amt,Education PS No,Education PS Amt,Housing PS No,Housing PS Amt,Social Infra No,Social Infra Amt,Renewable No,Renewable Amt,Other PS No,Other PS Amt,Tot Other (PS) NPA No.,Tot Other (PS) NPA Amt.
Baksa,0,0,26,70,286,659.36,0,0,94,33.33,56,84.17,462,846.86
Barpeta,0,0,75,233.56,204,767.01,0,0,536,267.68,208,233.88,1023,1502.13
Biswanath,0,0,44,98.3,109,352.44,0,0,0,0,64,126.02,217,576.76
Bongaigaon,0,0,15,40.14,29,103.65,67,8.65,129,62.05,47,111.93,287,326.42
Cachar,0,0,111,234.65,72,320.55,0,0,13,5.32,37,154.87,233,715.3900000000001
Charaideo,0,0,21,78.64,41,325.73,0,0,109,39.23,24,104.23,195,547.83
Chirang,0,0,20,46.49,37,70.03,1,0.51,160,90.97,13,16.24,231,224.24
Darrang,0,0,45,120.14,192,521.78,1,0.11,58,30.54,64,107.8,360,780.3699999999999
Dhemaji,0,0,28,72.49,56,245.56,0,0,32,11.36,26,30.94,142,360.35
Dhubri,0,0,45,141.99,119,384.52,0,0,247,134.83,399,451.57,810,1112.91
Dibrugarh,0,0,118,347.6,115,870.54,2505,325.2,29,10.85,45,256.57,2812,1810.7599999999998
Dima Hasao,0,0,2,6.46,13,26.74,0,0,0,0,3,4,18,37.199999999999996
Goalpara,0,0,25,78.01,99,219.88,0,0,509,333.87,83,113.64,716,745.4
Golaghat,0,0,37,86.54,32,141.73,227,22.84,14,3.52,652,219.42,962,474.04999999999995
Hailakandi,0,0,7,12.39,30,112.36,0,0,33,15.53,41,52.63,111,192.91
Hojai,0,0,14,30.61,21,107.2,0,0,0,0,52,550.04,87,687.8499999999999
Jorhat,0,0,68,180.8,112,605.46,1119,131.26,0,0,483,251.84,1782,1169.36
KARIMGANJ,0,0,12,32.89,42,202.14,0,0,13,3.2,21,252.3,88,490.53
Kamrup,0,0,82,225.63,230,790.48,99,18.31,28,11.88,230,153.25,669,1199.5500000000002
Kamrup Metro,0,0,333,918.6,363,4124.17,14,870.36,0,0,396,301.85,1106,6214.9800000000005
Karbi Anglong,0,0,26,52.93,59,146.11,0,0,1,0.09,210,84.49,296,283.62
Kokrajhar,0,0,22,45.4,43,107.55,0,0,58,41.54,103,125.91,226,320.4
Lakhimpur,0,0,29,77.25,70,229.54,21,12.42,128,52.63,239,671.2,487,1043.04
Majuli,0,0,23,66.38,67,667.05,0,0,0,0,19,286.8,109,1020.23
Morigaon,0,0,26,77.1,125,411.46,0,0,35,14.28,41,619.6,227,1122.44
Nagaon,0,0,52,155.03,156,537.95,72,5.91,4,2.54,168,431.21,452,1132.6399999999999
Nalbari,0,0,64,151.26,466,1266.01,9,0.93,11,6.69,53,147.87,603,1572.7600000000002
Sivasagar,0,0,37,81.69,56,317.14,802,97.92,29,11.05,915,372.16,1839,879.96
Sonitpur,0,0,106,237.1,318,955.18,441,42.35,4,1.76,155,575.16,1024,1811.5499999999997
South Salmara,0,0,3,5.25,24,113.41,0,0,9,6.54,0,0,36,125.2
Tinsukia,0,0,72,174.67,55,422.72,485,62.83,33,8.29,45,213.8,690,882.31
Udalguri,0,0,58,154.28,57,170.45,1,1.35,0,0,72,42.37,188,368.45000000000005
West Karbi Anglong,0,0,1,2.8,16,18,0,0,11,0.92,4,5.14,32,26.860000000000003
