District,Farm Credit Crop No.,Farm Credit Crop Amt,Farm Credit Term Loan No.,Farm Credit Term Loan Amt,Agri Infra No.,Agri Infra Amt,Ancillary No.,Ancillary Amt,Total Agri (PS) O/S No.,Total Agri (PS) O/S Amt
Baksa,26188,14967.81,14779,8079.77,17,23.34,436,702.57,41420,23773.49
Barpeta,52095,23213.63,79923,36800.47,1346,862.45,3017,3085.23,136381,63961.780000000006
Biswanath,26406,14405.44,26835,12667.68,511,461.15,1283,2380.09,55035,29914.360000000004
Bongaigaon,11631,5249.36,18318,10188.65,842,359.56,2637,2700.28,33428,18497.85
Cachar,47642,26277.78,47053,28086.23,1428,2262.82,7369,10281.54,103492,66908.37
Charaideo,10536,5438.18,12165,5788.72,597,358.19,521,804.25,23819,12389.340000000002
Chirang,20251,10464.09,6713,3989.01,2852,1643.62,1007,1031.27,30823,17127.99
Darrang,33686,17387.68,36177,17408.86,518,309.13,1748,2550.62,72129,37656.29
Dhemaji,24689,13469.45,17361,7742.41,240,299.4,1242,1521.69,43532,23032.95
Dhubri,27225,13723.06,48619,24736.13,8764,4937.15,6627,4676.75,91235,48073.090000000004
Dibrugarh,68136,39811.33,69019,35137.22,1104,857.43,3378,16505.12,141637,92311.09999999999
Dima Hasao,2090,606.22,1001,529.38,7,12.63,91,138.74,3189,1286.97
Goalpara,24709,10950.64,21385,12101.92,725,499.41,1361,1778.62,48180,25330.589999999997
Golaghat,70362,31879.42,89476,37443.93,4259,2365.86,3190,8376.79,167287,80066
Hailakandi,17386,8305.3,10210,5297.77,244,926.2,1492,1394.45,29332,15923.720000000001
Hojai,20214,9723.19,24290,11542.84,1359,836.7,3826,3953.69,49689,26056.42
Jorhat,64345,24313.66,92099,37972.35,4855,2655.66,2506,22982.12,163805,87923.79
Kamrup Metro,69345,35833.28,76874,36423.85,512,505.93,2692,5185.24,149423,77948.3
Karbi Anglong,27735,11842.81,12294,4305.62,13,23.93,335,439.09,40377,16611.45
Karimganj,24003,13819.85,29737,14535.4,945,894.18,6763,7638.17,61448,36887.6
Kokrajhar,18537,9110.37,11651,8578.81,11,20.78,291,522.75,30490,18232.71
Lakhimpur,52580,30615.16,52280,22670.84,811,738.95,3512,5609.21,109183,59634.159999999996
Majuli,5453,2377.38,1956,1327.84,20,22.19,155,165.98,7584,3893.3900000000003
Morigaon,37488,21240.29,62655,31031.88,2929,1890.49,6558,7287.75,109630,61450.409999999996
Nagaon,78871,41284.03,99855,46899.17,2748,1985.48,8940,9402.81,190414,99571.48999999999
Nalbari,28242,12780.63,37909,17445.74,289,212.17,1549,2872.66,67989,33311.2
Sivasagar,26307,12698.3,62803,29410.61,413,353.42,2539,3919.24,92062,46381.57
Sonitpur,29944,17610.94,63084,30744.15,3095,1777.22,3016,5342.19,99139,55474.5
South Salmara,1029,479.47,1793,984.66,0,0,2,1.85,2824,1465.98
Tinsukia,46246,31577.33,50433,37454.66,811,3260.64,4026,12822.48,101516,85115.11
Udalguri,33053,19106.4,16252,9882.64,2,3.37,448,509.06,49755,29501.47
West Karbi Anglong,10797,3631.64,2792,1107.27,1,0,82,49.28,13672,4788.19
