District,Micro Tl A/C,Micro Tl Amt,Micro Wc A/C,Micro Wc Amt,Small Tl A/C,Small Tl Amt,Small Wc A/C,Small Wc Amt,Medium Tl A/C,Medium Tl Amt,Medium Wc A/C,Medium Wc Amt,KVIC Tl A/C,KVIC Tl Amt,KVIC Wc A/C,KVIC Wc Amt,Others under MSMEs A/C,Others under MSMEs Amt,Tot Msme (PS) Disb No.,Tot Msme (PS) Disb Amt
Baksa,935,1251.47,124,833.44,71,814.37,25,604.66,2,82,1,3,13,17.45,2,2.99,87,69.05,1260,3678.4299999999994
Barpeta,3150,2412.91,373,1220.79,76,379.49,43,403.24,40,90.24,6,24.53,4,5.92,0,0,41,41.75,3733,4578.869999999999
Biswanath,1267,886.75,207,443.89,33,1008.56,26,748.67,3,85.8,4,17.87,3,7.03,4,14.9,88,71.5,1635,3284.9700000000003
Bongaigaon,2577,2534.54,188,1074.93,91,1328.27,43,1115.78,25,31.35,9,20.94,6,12.22,3,4.08,70,404.34,3012,6526.45
Cachar,9600,7713.08,405,1927.98,140,2320.6,85,1927.58,3,691.96,13,475.62,15,18.69,2,1.46,136,4994.65,10399,20071.620000000003
Charaideo,471,395.45,60,109.22,8,104.95,6,65.87,0,0,2,6,3,9.4,0,0,2,1.45,552,692.34
Chirang,1398,1078.53,129,460.2,28,1048.72,14,675.9,35,16.4,0,0,6,7.72,0,0,16,11.95,1626,3299.4199999999996
Darrang,2184,2260.19,172,908.16,30,233.12,13,216.15,7,1.86,5,13.29,5,5.95,0,0,29,258.35,2445,3897.0699999999997
Dhemaji,1800,1211.38,241,445.16,20,155.82,23,370.74,0,0,2,7.85,26,40.62,25,69.14,20,185.85,2157,2486.56
Dhubri,5730,4305.14,377,1453.1,75,554.51,36,482.22,1,0.51,2,72,15,31.76,12,29.86,18,47.56,6266,6976.660000000001
Dibrugarh,4147,5701.89,1054,5202.17,222,3479.11,145,6806.5,46,480.18,4,292.93,17,28.34,13,25.59,154,2604.1,5802,24620.81
Dima Hasao,140,110.6,43,64.93,7,45.24,4,29.75,16,3.92,1,3.87,2,6.48,0,0,0,0,213,264.79
Goalpara,1747,1224.62,107,463.95,59,134.28,14,93.17,8,2.19,4,11.25,3,3.31,4,5.13,70,162.61,2016,2100.51
Golaghat,2288,2380.97,335,1767.71,72,1192.02,56,848.77,6,0.95,2,7.8,12,8.84,4,12.02,179,1179.98,2954,7399.060000000001
Hailakandi,1449,770.07,126,211.33,10,44.89,9,105.17,0,0,2,9.74,2,0.99,2,2.1,61,135.17,1661,1279.4600000000003
Hojai,1826,2436.22,249,1250.77,28,305.86,25,222,0,0,4,13,1,2.75,8,6.05,34,391.9,2175,4628.55
Jorhat,3201,4617.48,474,3008.98,137,3437.4,68,1935.7,25,457,20,325.45,2,2.5,3,5.11,120,2235.94,4050,16025.560000000001
Kamrup Metro,6605,4913.36,487,1785.71,168,1982.5,64,1074.24,51,1103.06,10,616.23,12,24.32,7,7.74,168,362.78,7572,11869.939999999999
Karbi Anglong,964,624.01,129,264.28,29,367.55,19,244.15,13,13.94,0,0,7,7.66,0,0,16,6.1,1177,1527.69
Karimganj,4405,3316.33,300,1256.53,31,499.78,33,360.45,0,0,4,17,19,21.53,2,7.8,146,175.75,4940,5655.169999999999
Kokrajhar,636,365.71,184,490.02,97,151.45,8,177.46,1,0.71,1,30.79,37,51.51,3,1.86,1,0.74,968,1270.25
Lakhimpur,2071,1893.51,615,1851.51,66,1214.97,51,902.04,5,0.71,5,19.5,7,13.43,6,9.98,439,1052.45,3265,6958.099999999999
Majuli,140,72.58,19,28.58,7,58.73,7,44.49,0,0,0,0,0,0,0,0,5,3.6,178,207.98
Morigaon,1659,1258.7,247,516.14,41,166.19,21,149.82,0,0,2,6.87,15,38.29,17,25.95,27,629.12,2029,2791.08
Nagaon,3717,5627.31,547,3104.16,94,1702.7,79,2279.78,29,101.01,8,54.87,17,38.24,0,0,108,1702.07,4599,14610.140000000003
Nalbari,2010,1239.43,194,525.71,138,495.93,35,666.95,12,9.19,4,571,15,22.93,12,16.59,84,654.28,2504,4202.01
Sivasagar,1899,2305.8,367,2066.99,126,944.85,54,1972.01,6,126.51,3,5.03,10,18.09,2,3.81,90,695.53,2557,8138.620000000001
Sonitpur,3790,4270.25,435,1953.38,127,2681.95,56,1428.24,81,634.03,8,367.25,34,84.5,15,33.52,73,2068.81,4619,13521.93
South Salmara,136,87.56,9,68.97,0,0,0,0,0,0,0,0,2,0,0,0,0,0,147,156.53
Tinsukia,3007,4765.58,767,3598.36,161,3361.04,106,3238.27,21,1063.25,7,458.19,5,3.21,2,2.81,146,5876.37,4222,22367.079999999998
Udalguri,763,390.81,74,113.19,17,83.65,7,35.54,0,0,2,7.5,2,2.86,0,0,7,13,872,646.55
West Karbi Anglong,35,28.93,50,26.5,1,24,0,0,0,0,0,0,0,0,0,0,2,0.7,88,80.13000000000001
