district,Sanctioned No.,Of which girl student Sanctioned No.,Sanctioned Amt.,Of which girl student Sanctioned Amt,Disb. Number,Of which girl student Disb No.,Disb. Amt.,Of which girl student Disb Amt.,O/S No.,Of which girl student OS No.,O/S Amt.,Of which girl student O/S Amt.
Baksa,0,0,0,0,8,2,48.8,28.73,1415,251,4070.64,1145.24
Barpeta,6,5,13.75,9.75,21,7,32.35,8.85,326,90,961.71,257.78
Biswanath,0,0,0,0,11,3,24.87,8.25,103,41,321.66,131.79
Bongaigaon,3,1,12.9,1.22,15,3,54.31,9.69,125,38,473.28,150
Cachar,13,2,12.21,2.71,78,9,292.62,27.43,1031,190,3116.14,628.29
Charaideo,0,0,0,0,3,0,4.1,0,50,15,160.53,45.74
Chirang,1,0,4,0,5,0,27.93,0,54,13,210.98,40.91
Darrang,2,2,7.99,7.99,16,6,33.58,9.12,287,97,768.11,243.44
Dhemaji,0,0,0,0,6,1,15.74,2.6,141,46,367.72,128.76
Dhubri,2,0,9.5,0,16,1,47.12,1.06,178,30,542.05,125.08
Dibrugarh,7,6,31.56,18.64,36,13,109.51,42.36,878,321,2966.47,1016.81
Dima Hasao,0,0,0,0,2,0,2.24,0,23,9,68.26,33.87
Goalpara,0,0,0,0,3,0,2.89,0,119,31,437.14,116
Golaghat,4,2,21.92,2.05,30,14,166.95,109.15,308,118,975.35,398.41
Hailakandi,0,0,0,0,2,1,5.6,2,76,18,190.25,45.23
Hojai,0,0,0,0,8,2,33.67,8.77,108,25,312.5,70.24
Jorhat,6,3,30.88,14.98,57,24,448.93,217.32,650,264,2493.4,1053.78
KARIMGANJ,2,0,4.17,0,6,1,16.82,1.54,86,20,290.94,62.79
Kamrup,6,3,14.67,8.48,55,22,165.2,84.5,1185,240,3275.35,671.45
Kamrup Metro,44,15,256.35,65.39,211,79,1340.2,519.14,3275,1186,15000.78,5199.05
Karbi Anglong,1,1,0.61,0.61,8,4,35.14,7.51,118,42,351.64,123.48
Kokrajhar,2,0,5.45,0,6,0,15.27,0,91,20,258.97,66.32
Lakhimpur,1,1,4,4,9,5,42.6,9.94,218,75,615.47,187.37
Majuli,1,0,0.56,0,2,0,4.76,0,25,1,57.8,1.77
Morigaon,1,0,20,0,4,1,28.22,4.82,94,30,290.89,106.06
Nagaon,2,1,2.83,2,14,3,37.93,3.01,300,78,1016.43,226.56
Nalbari,3,2,9.09,3.02,24,10,83.67,35.37,296,82,952.06,311.03
Sivasagar,2,2,5.3,5.3,15,7,48.47,10.43,276,108,789.76,296.51
Sonitpur,5,1,12.79,4.95,31,12,107.28,64.45,346,118,1021.05,420.13
South Salmara,0,0,0,0,1,0,0.67,0,4,0,6.96,0
Tinsukia,6,3,23.58,5.92,35,12,129.19,40.84,514,154,1880.4,538.53
Udalguri,0,0,0,0,13,5,54.12,14.67,170,92,435.66,230.05
West Karbi Anglong,3,1,5.02,1.28,3,1,2.89,1.28,15,4,31.41,7.82
