District,Total Agri (PS) O/S No.,Total Agri (PS) O/S Amt,Total MSME (PS) O/S No.,Total MSME (PS) O/S Amt,Total OPS O/S No.,Total OPS O/S Amt,Total PS O/S No.,Total PS O/S Amt
Baksa,41420,23773.49,19816,13027.8813962,1477,8046.679580999999,62713,44848.0509772
Barpeta,136381,63961.780000000006,77835,73772.1403365,5109,33428.1255998,219325,171162.0459363
Biswanath,55035,29914.360000000004,31609,24556.6432297,2649,15512.912772900001,89293,69983.9160026
Bongaigaon,33428,18497.85,42885,46097.193001299995,12146,21236.381072200005,88459,85831.4240735
Cachar,103492,66908.37,131980,125663.24047919999,4729,28879.548946699993,240201,221451.15942589997
Charaideo,23819,12389.340000000002,11676,10116.747155199999,3942,5595.229984199999,39437,28101.317139400002
Chirang,30823,17127.99,20651,17278.602442399995,1185,6611.628721000002,52659,41018.2211634
Darrang,72129,37656.29,39389,34978.64462330001,4669,15034.509552599999,116187,87669.4441759
Dhemaji,43532,23032.95,33819,22032.402778099997,2782,16685.01329710001,80133,61750.366075200014
Dhubri,91235,48073.090000000004,74629,52843.018105999996,3189,18129.604538400014,169053,119045.71264440002
Dibrugarh,141637,92311.09999999999,77761,136804.60712000003,16262,54467.341244999996,235660,283583.04836500005
Dima Hasao,3189,1286.97,1490,2898.2939367,1062,5230.9920834,5741,9416.256020100001
Goalpara,48180,25330.589999999997,36370,25395.778220700002,1942,10903.730602900003,86492,61630.0988236
Golaghat,167287,80066,49809,47993.13379679999,12264,24847.28447990001,229360,152906.4182767
Hailakandi,29332,15923.720000000001,20041,16469.189462,1177,8079.463396799999,50550,40472.3728588
Hojai,49689,26056.42,34345,26334.908472900013,2090,19697.0707652,86124,72088.39923810001
Jorhat,163805,87923.79,68907,123643.99093360004,25724,47204.2875165,258436,258772.06845010002
Kamrup Metro,149423,77948.3,159147,107333.0820002,20851,35328.46388979998,329421,220609.84588999997
Karbi Anglong,40377,16611.45,12930,9061.641657727303,3089,22149.508243199998,56396,47822.5999009273
Karimganj,61448,36887.6,64477,49491.7738847,1392,11620.735907700002,127317,98000.1097924
Kokrajhar,30490,18232.71,7929,10994.034948599998,1638,10980.7732059,40057,40207.518154499994
Lakhimpur,109183,59634.159999999996,60573,52277.4659158,5995,30770.546267600002,175751,142682.1721834
Majuli,7584,3893.3900000000003,4144,4893.8864599,2713,9006.8020228,14441,17794.078482700002
Morigaon,109630,61450.409999999996,33158,28265.491869600002,1880,20891.7838868,144668,110607.6857564
Nagaon,190414,99571.48999999999,78898,83319.71141560003,15521,40923.04552489999,284833,223814.24694050002
Nalbari,67989,33311.2,42280,33265.0129482,5647,24178.205440199992,115916,90754.4183884
Sivasagar,92062,46381.57,44165,57159.049391600005,15300,29249.72534119999,151527,132790.3447328
Sonitpur,99139,55474.5,71095,87400.39642109998,9238,41605.02782110001,179472,184479.92424219998
South Salmara,2824,1465.98,962,1529.0403000000001,296,2692.5068187000006,4082,5687.527118700001
Tinsukia,101516,85115.11,61358,102592.57379699999,12165,32475.7693354,175039,220183.45313239997
Udalguri,49755,29501.47,15796,13855.722738399998,2029,15188.063334400009,67580,58545.25607280001
West Karbi Anglong,13672,4788.19,1200,760.2320965999999,856,7268.712514000001,15728,12817.1346106
