District,Crop No.,Crop Amt,Term Loan No.,Term Loan Amt,Agri Infra No.,Agri Infra Amt,Ancillary No.,Ancillary Amt,Tot Agri (PS) NPA No.,Tot Agri (PS) NPA Amt
Baksa,5474,2577.51,6198,4188.89,17,27.57,33,26.47,11722,6820.4400000000005
Barpeta,11650,5678.55,7093,4870.31,103,105.86,124,145.57,18970,10800.29
Biswanath,3273,1798.83,5223,2465.29,20,23.58,27,30.23,8543,4317.929999999999
Bongaigaon,1892,779.05,1389,857,16,14.61,57,124.34,3354,1774.9999999999998
Cachar,12546,6731.83,3615,2690.29,154,179.95,486,1227.85,16801,10829.92
Charaideo,828,539.73,1284,875.35,13,21.15,44,80.73,2169,1516.96
Chirang,3510,1608.18,2923,1935.13,41,106.17,89,59,6563,3708.4800000000005
Darrang,9434,4668.55,6267,4739.97,172,190.5,92,212.9,15965,9811.92
Dhemaji,5709,2833.67,3802,2354.54,21,26.63,100,141.51,9632,5356.35
Dhubri,9287,4351.71,5066,2826.16,95,126.11,138,144.13,14586,7448.11
Dibrugarh,20291,10883.9,13308,4850.11,116,100.77,374,540.32,34089,16375.099999999999
Dima Hasao,818,145.45,60,39.83,1,1,5,9,884,195.27999999999997
Goalpara,4112,1885.5,4528,3770.45,49,35.91,109,157.11,8798,5848.969999999999
Golaghat,22616,9503.05,8823,3462.71,148,188.4,234,510.36,31821,13664.519999999999
Hailakandi,4600,2225.99,1728,1076.76,17,27,97,105.3,6442,3435.05
Hojai,5251,2781.51,923,536,24,29.57,142,185.42,6340,3532.5000000000005
Jorhat,13029,5633.93,8160,3488.46,119,54.73,201,1876.36,21509,11053.48
Kamrup Metro,19329,10044.36,8716,5142.22,110,88.15,210,259.66,28365,15534.390000000001
Karbi Anglong,5991,2480.56,563,324.19,4,4.99,14,25.48,6572,2835.22
Karimganj,4972,2467.97,3536,1810.76,104,185.29,282,472.75,8894,4936.7699999999995
Kokrajhar,3378,1371.61,3350,2419.91,13,14.3,32,32.47,6773,3838.2899999999995
Lakhimpur,12512,6946.71,5321,3034.89,142,81.76,248,327.7,18223,10391.060000000001
Majuli,1088,355.66,568,359.91,30,45.13,14,16,1700,776.7
Morigaon,5918,3280.98,5484,3567.32,38,76.64,293,504.69,11733,7429.63
Nagaon,26788,12092.63,7216,4228.69,153,164.48,616,639.62,34773,17125.42
Nalbari,8393,3683.09,6222,3741.45,89,131.33,72,82.24,14776,7638.11
Sivasagar,8874,3518.96,7859,3151.27,40,36.63,190,231.77,16963,6938.63
Sonitpur,5518,3022.52,8133,4120.27,159,155.26,123,162.59,13933,7460.640000000001
South Salmara,220,122.04,222,330.47,0,0,0,0,442,452.51000000000005
Tinsukia,10173,7133.93,4971,2265.05,39,63.69,371,713.04,15554,10175.71
Udalguri,13352,8355.05,7777,4761.42,31,68.58,59,118.53,21219,13303.58
West Karbi Anglong,1535,629.2,286,111.13,0,0,2,0,1823,740.33
