District,KCC No.,KCC Amt,Farm Production A/C,Farm Production amt,Dairy no,Dairy Amt,Farm Mechanisation No.,Farm Mechanisation Amt,Poultry No.,Poultry Amt,fisheries no,fisheries Amt,Godown No.,Godown Amt,Clinic No.,Clinic Amt,Other No.,Other Amt,Total IC-Agri O/S No.,Total IC-Agri O/S Amt
Baksa,1308,863.87,5,4.93,322,475.97,120,219.4,46,43.74,17,56.81,0,0,1,1.06,4053,2921.47,5872,4587.25
Barpeta,668,447.08,30,45.86,10857,5698.02,1674,2551.02,2415,1438.37,4495,2445.56,0,0,0,0,41104,16404.69,61243,29030.6
Biswanath,547,240.85,2,1.1,1532,678.48,3069,1651.39,1121,509.05,383,136.54,0,0,0,0,10286,5262.26,16940,8479.67
Bongaigaon,522,313.12,10,16.77,1393,758.11,533,682.87,789,372.4,535,241.45,0,0,0,0,11475,5827.87,15257,8212.59
Cachar,2222,2034.19,40,31.18,5167,2644.31,3174,1758.36,4852,3174.43,7256,3305.75,3,791.06,0,0,25562,14612.86,48276,28352.14
Charaideo,537,361.02,2,1.75,130,87.04,692,297.9,1250,425.79,35,14.87,1,0.7,0,0,6333,2947.62,8980,4136.69
Chirang,776,288.44,7,5.72,510,457.46,419,200.61,82,52.22,175,103.46,0,0,10,1.4,8339,4994.88,10318,6104.1900000000005
Darrang,545,431.99,53,79.97,7156,4544.47,601,456.32,751,459.77,739,384.82,2,54.14,0,0,15272,8393.38,25119,14804.86
Dhemaji,786,466.72,2,0.96,526,342.59,107,63.08,1400,520.3,225,104.92,0,0,0,0,4570,2604.25,7616,4102.82
Dhubri,2609,761.89,8,4.5,4341,2309.4,1841,1196.17,2383,1121.86,713,337.73,0,0,8,11.58,30227,15401.53,42130,21144.66
Dibrugarh,2159,1441.17,47,112.14,1313,830.16,4481,2791.45,7037,3089.07,612,272.62,0,0,9,29,35297,23793.53,50955,32359.14
Dima Hasao,20,26,0,0,14,7.06,2,3.76,3,3.12,85,42.16,0,0,0,0,295,193,419,275.1
Goalpara,2144,483.86,26,15.15,2010,882,174,163.4,1838,968.63,306,155,6,0.95,0,0,11382,7017.37,17886,9686.36
Golaghat,1277,1085.53,47,98.36,3827,1635.96,8377,5292.95,3212,1510.1,811,368.95,0,0,0,0,58729,25075.4,76280,35067.25
Hailakandi,449,425.79,0,0,1672,963.35,289,168.03,273,208.87,147,86.6,1,645.83,0,0,6045,3095.28,8876,5593.75
Hojai,428,724.43,0,0,1576,843.42,439,385.74,1038,573.88,325,170.96,0,0,0,0,17156,7738.45,20962,10436.88
Jorhat,1235,996.33,68,158.11,8813,3995.96,3289,2263.41,9264,4340.57,1436,614.69,1,54.68,3,14.48,51969,25930.14,76078,38368.369999999995
Kamrup Metro,1177,975.91,49,178.29,13105,6636,860,1013.06,4138,2264.78,4693,2262.26,1,0,6,3.89,37740,19944.29,61769,33278.48
Karbi Anglong,378,109.89,0,0,757,358.5,87,111.57,12,18.65,22,11.35,0,0,1,6.99,4768,2821.8,6025,3438.75
Karimganj,1228,1429.36,13,19.19,3799,2061.04,3501,1811.27,656,398.5,1729,858.74,0,0,0,0,15187,7121.59,26113,13699.69
Kokrajhar,821,179.07,9,6.27,210,147.57,81,77.62,30,10.09,10,1.71,0,0,0,0,880,1570.97,2041,1993.3
Lakhimpur,876,1158.57,30,16.28,3149,1746.88,355,316,10643,5549.9,1260,685.76,0,0,1,4.32,11777,5642.52,28091,15120.23
Majuli,77,83.32,0,0,4,4.93,10,31.31,4,4.97,1,0.55,0,0,0,0,198,134.78,294,259.86
Morigaon,1459,1407.25,0,0,4525,2416,942,858.87,4888,2958.5,4138,2084.5,1,14.31,0,0,35481,17237.96,51434,26977.39
Nagaon,1520,2044.21,36,109.3,12965,7061.37,2873,2561.04,6017,3354.28,6256,3293.14,2,233.72,0,0,67657,26400.88,97326,45057.94
Nalbari,1856,454.54,22,9.78,3288,1680.49,461,493.09,830,290.09,2559,1204.03,1,1.75,3,3.46,21160,9497.46,30180,13634.689999999999
Sivasagar,1233,807.19,18,5.19,3416,1659.29,2614,2415,9658,4132.74,1045,470.91,0,0,3,9.04,25009,11144.04,42996,20643.4
Sonitpur,885,655.46,41,108.81,14401,6852.19,1461,1007.29,3746,1749.32,1545,789.39,2,49.5,13,25.36,27915,13638.29,50009,24875.61
South Salmara,0,0,0,0,4,14.94,1,4.3,3,10.52,1,2.18,0,0,0,0,64,212.98,73,244.92
Tinsukia,1450,1405.57,136,136.76,1688,1043.17,2424,1598.33,4278,1947.24,637,277.61,0,0,6,75.66,21983,69291.08,32602,75775.42
Udalguri,812,269.84,4,1.8,197,424.17,84,134.01,178,74.65,114,35.2,1,0.32,5,14.31,8000,4575.63,9395,5529.93
West Karbi Anglong,0,0,0,0,234,91.38,7,11.04,0,0,6,0,1,0,0,0,50,24.08,298,126.49999999999999
