District,Export No.,Export Amt,Education PS No.,Education PS Amt,Housing PS No.,Housing PS Amt,Social Infra No.,Social Infra Amt,Renewable No.,Renewable Amt,Other PS No.,Other PS Amt,Total Ops O/S No.,Total Ops O/S Amt
Baksa,0,0,110,368.8,1047,7176.9551628,3,127.53,105,35.84,212,337.5544182,1477,8046.679580999999
Barpeta,0,0,362,1016.93,3357,30870.529734300002,217,185.94,548,271.03,625,1083.6958655,5109,33428.1255998
Biswanath,0,0,139,376.62,1472,12801.894325200003,676,51.76,1,101.73,361,2180.9084476999997,2649,15512.912772900001
Bongaigaon,0,0,133,435.2,1994,16960.933814700005,4435,993.3,129,62.05,5455,2784.8972575,12146,21236.381072200005
Cachar,0,0,1118,3060.39,3167,23060.233214899992,0,0,18,9.2,426,2749.7257317999997,4729,28879.548946699993
Charaideo,0,0,70,227.01,408,3296.0422842999997,3114,271.39,109,39.22,241,1761.5676999,3942,5595.229984199999
Chirang,0,0,75,242.96,630,5897.651386400003,2,2.56,160,90.97,318,377.4873346,1185,6611.628721000002
Darrang,0,0,322,860.58,1588,12698.7199702,2372,365.11,61,31.99,326,1078.1095824,4669,15034.509552599999
Dhemaji,0,0,161,407.32,1707,15647.82318770001,581,126.94,38,11.4,295,491.5301094,2782,16685.01329710001
Dhubri,0,0,208,633.61,2100,16227.943089000015,0,0,247,134.83,634,1133.2214494,3189,18129.604538400014
Dibrugarh,0,0,969,3029.01,5063,44730.674874599994,9082,1084.94,29,10.85,1119,5611.8663704,16262,54467.341244999996
Dima Hasao,0,0,26,70.56,998,5056.7039834,1,0.33,0,0,37,103.3981,1062,5230.9920834
Goalpara,0,0,135,482.76,1062,9194.856554500002,1,4.74,509,333.87,235,887.5040484,1942,10903.730602900003
Golaghat,0,0,320,926.22,2360,20254.786607500013,2644,333.83,14,3.52,6926,3328.9278724,12264,24847.28447990001
Hailakandi,0,0,93,212.11,865,7262.828884799999,0,0,33,15.53,186,588.994512,1177,8079.463396799999
Hojai,0,0,134,361.67,977,8121.868395199997,1,12.6,0,0,978,11200.93237,2090,19697.0707652
Jorhat,0,0,720,2285.43,4646,37581.4753751,6465,1221.52,0,0,13893,6115.8621414,25724,47204.2875165
Kamrup Metro,0,0,1232,3353.8,3572,27058.355036499983,4990,913.19,28,11.88,11029,3991.2388533000003,20851,35328.46388979998
Karbi Anglong,0,0,129,340.98,2695,21332.3672003,1,2.06,1,0.09,263,474.0110429,3089,22149.508243199998
Karimganj,0,0,111,325.86,911,6170.376568300003,0,0,16,3.2,354,5121.2993394,1392,11620.735907700002
Kokrajhar,0,0,100,270.15,1191,9990.598258500002,1,8.71,58,41.54,288,669.7749474000001,1638,10980.7732059
Lakhimpur,0,0,254,674.29,2361,22431.529960600004,2271,307.96,137,55.09,972,7301.676307,5995,30770.546267600002
Majuli,0,0,59,146.77,331,2678.1906508,1848,231.3,0,0,475,5950.541372000001,2713,9006.8020228
Morigaon,0,0,131,378.86,1211,8274.814166,0,0,35,14.28,503,12223.829720799999,1880,20891.7838868
Nagaon,0,0,344,1065.71,3614,29334.1417746,1706,216.75,4,2.54,9853,10303.9037503,15521,40923.04552489999
Nalbari,0,0,327,987.12,2725,20393.328922399993,2145,294.9,13,6.79,437,2496.0665178000004,5647,24178.205440199992
Sivasagar,0,0,319,841.55,2829,22770.216362699994,5359,585.79,29,11.04,6764,5041.1289785,15300,29249.72534119999
Sonitpur,0,0,438,1165.59,3817,30367.332153700012,3804,529.68,5,2.14,1174,9540.2856674,9238,41605.02782110001
South Salmara,0,0,6,11.54,281,2674.4268187000007,0,0,9,6.54,0,0,296,2692.5068187000006
Tinsukia,0,0,557,1760.75,2768,25287.577116700006,8176,835.44,33,8.3,631,4583.702218699999,12165,32475.7693354
Udalguri,0,0,198,490.91,1470,14427.305383000008,3,12.64,0,0,358,257.20795139999996,2029,15188.063334400009
West Karbi Anglong,0,0,16,41.99,813,7212.581303500001,0,0,12,0.92,15,13.221210500000002,856,7268.712514000001
