district,Crop Loan A/C,Crop Loan Amt,Forestry and wasteland Dev. A/C Nos,Forestry and wasteland Dev. Amt,Water Resource A/C Nos,Water Resource Amount,Farm mechanization A/C Nos,Farm mechanization Amount,Plantation & horticulture A/C Nos,Plantation & horticulture Amount,Animal Husbandry A/C Nos,Animal Husbandry Amount,Fishery A/C Nos,Fishery Amount,Farm Credit Others A/C Nos,Farm Credit Others Amount,Agri. Infrastructure Ac,Agri. Infrastructure Amt,Ancillary Activities Ac,Ancillary Activities Amt,Tot ACP Agri (PS) Disb No.,Tot ACP Agri (PS) Disb Amt.
Baksa,1381,650.33,0,0,0,0,7,1.79,0,0,163,82.22,22,12,109,70.79,0,0,242,311.58,1924,1128.71
Barpeta,1187,803.04,0,0,4,1.6,101,113.2,38,46.28,550,283,147,73.66,949,538.59,49,26.43,313,304.82,3338,2190.62
Biswanath,579,367.23,0,0,3,1.15,102,62.4,0,0,212,147.08,22,11.32,733,304.23,12,6.7,380,1676.98,2043,2577.09
Bongaigaon,388,371.25,0,0,3,0.9,26,18.33,6,6.3,126,53.78,17,5.63,407,218.4,53,16.3,245,179.52,1271,870.4099999999999
Cachar,1121,617.54,0,0,12,4.55,254,95.81,41,10.1,673,312.75,525,239.77,1565,824.16,79,637.57,402,907.13,4672,3649.38
Charaideo,111,54.93,0,0,1,0.25,20,22.13,0,0,77,53.49,5,1.65,91,111.31,10,5.6,88,111.41,403,360.77
Chirang,593,277.45,0,0,2,0.95,18,9.3,0,0,45,42.96,22,11.21,102,92.69,172,83.15,401,286.24,1355,803.9499999999999
Darrang,879,723.87,0,0,0,0,101,65.43,33,27.31,368,226.14,54,27.21,548,255.82,21,12.61,291,812.63,2295,2151.02
Dhemaji,603,397.19,0,0,0,0,0,0,0,0,183,96.35,16,13.43,312,79.79,8,2.7,244,286.34,1366,875.8
Dhubri,706,510.41,0,0,20,9.15,128,49.5,0,0,413,189.42,62,32.3,1748,813.2,665,310.65,423,278.93,4165,2193.56
Dibrugarh,2498,1307.72,0,0,7,3.55,343,196.73,72,65.52,610,328.41,43,24.2,1146,1144.54,28,25.18,486,4571.29,5233,7667.139999999999
Dima Hasao,92,27.22,0,0,0,0,1,1,0,0,17,16.92,0,0,14,6.04,0,0,35,38,159,89.18
Goalpara,474,224.57,0,0,0,0,2,1.7,0,0,169,84.26,10,5.72,263,132.29,23,10.7,394,498.38,1335,957.6199999999999
Golaghat,1563,1238.82,0,0,9,4.1,650,358.49,63,44.88,592,283.43,48,24.82,1416,778.33,190,100.21,305,1815.16,4836,4648.24
Hailakandi,451,225.09,0,0,5,5.77,23,12.7,0,0,100,38.72,27,9.1,483,181.47,4,211.56,109,72.33,1202,756.7400000000001
Hojai,644,250.01,0,0,23,11,23,13.32,0,0,134,60.85,22,13.25,888,376.94,80,47.4,381,451.69,2195,1224.46
Jorhat,1240,914.9,0,0,10,5.4,235,192.1,40,53.44,985,487.84,72,38.42,1287,779.05,240,133.14,315,4969.87,4424,7574.16
Kamrup Metro,1652,1028.45,0,0,4,3.5,183,176.84,72,81.99,758,445.9,202,122.49,983,821.45,26,15.15,519,670.82,4399,3366.59
Karbi Anglong,1383,737.29,0,0,0,0,2,0.07,1,0.15,189,100.31,8,3.52,194,33.62,0,0,375,228.35,2152,1103.31
Karimganj,197,81.09,0,0,1,0.35,160,87.94,8,7.09,278,125.94,139,68.91,866,436.78,30,9.95,483,279.62,2162,1097.67
Kokrajhar,645,515.68,0,0,0,0,0,0,0,0,13,7.32,0,0,44,60.03,0,0,115,112.01,817,695.04
Lakhimpur,1699,1020.99,0,0,3,1.15,11,2.2,0,0,591,334.21,67,32.51,366,241.9,23,12.7,461,543.11,3221,2188.77
Majuli,54,43.55,0,0,0,0,2,0.15,0,0,14,4.2,1,0.3,65,8.14,0,0,35,51.4,171,107.74
Morigaon,1361,608.91,0,0,17,11.55,37,24.48,0,0,442,237.59,165,70,1191,611.1,121,55.2,508,344.83,3842,1963.66
Nagaon,2176,810.12,0,0,8,3.55,218,160.35,51,51.44,1288,595.33,358,200.75,1539,821.97,105,51.32,760,777.08,6503,3471.9100000000003
Nalbari,868,518.31,0,0,2,1.5,9,6.71,8,1.46,296,140.32,113,60.9,281,107.74,3,1.2,387,609.19,1967,1447.33
Sivasagar,826,652.83,0,0,3,2.65,69,43.23,2,18.55,614,356.54,62,33.56,673,310.65,13,7.55,317,611.15,2579,2036.7099999999996
Sonitpur,1653,584.71,0,0,25,10.55,159,117.62,51,49.72,801,458.14,57,34.62,1054,725.07,133,90.78,532,1943.22,4465,4014.4300000000003
South Salmara,30,19.26,0,0,0,0,0,0,0,0,0,0,0,0,7,4.38,0,0,1,1.3,38,24.94
Tinsukia,2752,1772.77,0,0,3,2.45,128,119.93,16,29.03,276,176.78,33,19.26,547,435.71,16,11.74,643,3846.42,4414,6414.09
Udalguri,570,317.89,0,0,0,0,2,0.17,0,0,211,98.95,8,2.5,61,23.67,0,0,157,130.31,1009,573.49
West Karbi Anglong,413,188.01,0,0,0,0,0,0,0,0,15,19.55,1,0.35,0,0,0,0,72,78.56,501,286.47
