district,Sishu No.,Sishu amt.,Kishore no.,Kishore Amt.,Tarun No,Tarun Amt.,Total MUDRA Disb No.,Total MUDRA Disb Amt.
Baksa,46,6.28,151,189.4,32,124.71,229,320.39
Barpeta,780,226.5,268,341.52,53,229.13,1101,797.15
Biswanath,66,12.46,212,165.6,58,93.72,336,271.78
Bongaigaon,339,65.74,85,105.81,39,136.32,463,307.87
Cachar,208,54.4,339,423.16,62,245.79,609,723.35
Charaideo,25,9.04,46,61.48,12,83.77,83,154.29
Chirang,62,7.95,111,134.54,15,39.98,188,182.46999999999997
Darrang,212,44.7,175,201.41,49,144.9,436,391.01
Dhemaji,93,31.3,215,167.14,49,114.7,357,313.14
Dhubri,66,22.85,527,347.05,44,138.43,637,508.33000000000004
Dibrugarh,334,71.15,652,646.29,191,602.22,1177,1319.6599999999999
Dima Hasao,40,13.61,42,24.15,4,29.84,86,67.6
Goalpara,582,109.37,145,179.05,18,106.19,745,394.61
Golaghat,576,151.92,278,264.18,74,295.47,928,711.57
Hailakandi,86,17.13,136,154.96,14,42.24,236,214.33
Hojai,158,29.16,256,260.69,89,295.47,503,585.32
Jorhat,784,190.71,374,437.75,120,494.6,1278,1123.06
Kamrup Metro,1350,354.19,674,617.85,129,368.46,2153,1340.5
Karbi Anglong,91,22.63,90,140.68,42,183.83,223,347.14
Karimganj,218,44.58,207,174.95,50,172.65,475,392.17999999999995
Kokrajhar,100,12.44,114,69.62,19,66.81,233,148.87
Lakhimpur,197,57.61,530,435.64,128,301.01,855,794.26
Majuli,11,4.92,21,27.44,7,10.48,39,42.84
Morigaon,72,28.9,135,174.6,47,152.48,254,355.98
Nagaon,924,252.94,357,492.5,55,256.72,1336,1002.1600000000001
Nalbari,640,195.42,175,163.99,15,58.16,830,417.56999999999994
Sivasagar,150,29.89,243,281.58,76,319.17,469,630.64
Sonitpur,746,201.33,566,562.49,117,371.94,1429,1135.76
South Salmara,0,0,7,7.94,4,32.58,11,40.519999999999996
Tinsukia,223,48.49,537,600.63,167,614.48,927,1263.6
Udalguri,72,4.85,104,110.25,20,111.63,196,226.73
West Karbi Anglong,38,9.22,9,7.03,3,23.9,50,40.15
