District,SHG No.,SHG Amt
Baksa,108,192.61
Barpeta,170,220.31
Biswanath,221,289.15
Bongaigaon,79,143.35
Cachar,85,147.71
Charaideo,52,89.35
Chirang,196,149.98
Darrang,83,126.79
Dhemaji,210,266.6
Dhubri,107,177.92
Dibrugarh,287,283.97
Dima Hasao,30,40.5
Goalpara,91,87.38
Golaghat,234,371.54
Hailakandi,63,46.9
Hojai,34,39
Jorhat,197,437.67
Kamrup Metro,229,254.26
Karbi Anglong,133,177.13
Karimganj,52,71.38
Kokrajhar,40,46.41
Lakhimpur,286,401.55
Majuli,33,69.64
Morigaon,68,88
Nagaon,241,315.43
Nalbari,218,328.96
Sivasagar,245,411.16
Sonitpur,448,419.99
South Salmara,3,3.17
Tinsukia,151,267.41
Udalguri,54,83.59
West Karbi Anglong,69,88.5
