District,Sishu os No.,Sishu os amt,Sishu NPA No.,Sishu NPA Amt,Kishore os no,Kishore os Amt,Kishore NPA No.,Kishore NPA Amt,Tarun os No.,Tarun os Amt,Tarun NPA No.,Tarun NPA Amt,Total MUDRA O/S No.,Total MUDRA O/S Amt,Total MUDRA NPA No.,Total MUDRA NPA Amt
Baksa,1849,441.18,833,258.84,1750,2175.37,472,613.36,132,665.48,11,52.91,3731,3282.0299999999997,1316,925.11
Barpeta,18511,3325.19,1595,542.25,5294,6521.55,943,1625.66,592,3133.24,39,206.65,24397,12979.98,2577,2374.56
Biswanath,2119,550.45,735,244.53,1641,1729.55,298,325.77,145,565.38,10,40.31,3905,2845.38,1043,610.6099999999999
Bongaigaon,4112,607.26,438,120.81,1516,1686.5,264,257.74,328,1764.6,22,109.94,5956,4058.36,724,488.49
Cachar,10430,3952.57,1502,234.92,5997,15779.82,412,443.49,594,3164.08,24,122.69,17021,22896.47,1938,801.0999999999999
Charaideo,1518,390.97,528,191.66,1090,1319.99,185,253.06,125,778.75,6,32.51,2733,2489.71,719,477.23
Chirang,1030,312.46,443,136.66,1585,1800.52,423,655.66,96,453.48,13,73.74,2711,2566.46,879,866.06
Darrang,4992,924.14,820,249.85,2692,3757.8,564,763.45,348,1658.63,80,346.42,8032,6340.570000000001,1464,1359.72
Dhemaji,3531,708.05,510,166.95,2841,3297.25,247,386.31,293,1602.5,20,110.06,6665,5607.8,777,663.3199999999999
Dhubri,3754,931.81,774,248.32,3713,4783.46,738,942.44,393,2420.41,32,179.51,7860,8135.68,1544,1370.27
Dibrugarh,15260,3116.78,3450,798.46,6010,8514.9,690,982.86,1535,7806.47,93,423.8,22805,19438.15,4233,2205.1200000000003
Dima Hasao,482,105.14,34,13.54,1036,1982.75,57,82.61,641,2928.51,4,14.08,2159,5016.4,95,110.23
Goalpara,9030,1475.17,648,158.42,1859,1989.98,376,350.91,105,515.45,8,29.4,10994,3980.6000000000004,1032,538.73
Golaghat,22992,4059.14,1012,262.49,5775,6289.91,464,567.63,645,4392.55,54,294.27,29412,14741.599999999999,1530,1124.3899999999999
Hailakandi,1545,392.88,246,71.3,2059,2667.81,207,258.04,176,1065.61,14,68.28,3780,4126.3,467,397.62
Hojai,3678,1136.76,499,153.6,3127,5513.89,339,471.5,514,3062.31,52,322.53,7319,9712.960000000001,890,947.63
Jorhat,32311,5021.17,1159,289.78,6376,7781.15,577,671.36,904,5225.1,58,329.63,39591,18027.42,1794,1290.77
Kamrup Metro,30477,5550.96,1568,367.31,9261,9338.84,704,972.73,952,4520.31,66,359.15,40690,19410.11,2338,1699.19
Karbi Anglong,2155,443.99,117,36.4,1628,2460.41,149,215.94,1900,7692.65,24,97.47,5683,10597.05,290,349.81
Karimganj,7887,1327.88,1018,161.79,2937,3812.59,259,327.13,386,2319.36,15,68.35,11210,7459.83,1292,557.27
Kokrajhar,1529,403.58,497,163.27,1582,1856.8,495,622.35,89,415.32,4,19.47,3200,2675.7000000000003,996,805.09
Lakhimpur,3396,947.85,1008,324.25,3438,3942.98,616,773.99,447,1945.98,52,447.29,7281,6836.8099999999995,1676,1545.53
Majuli,491,157.01,163,70.41,493,622.13,74,89.43,51,316.06,3,17.43,1035,1095.2,240,177.27
Morigaon,5298,1153.17,862,257.61,4000,5009.46,523,723.21,586,3504.33,65,359.78,9884,9666.96,1450,1340.6
Nagaon,24223,4012.42,1284,313.88,6991,8297.72,1251,1575.18,1023,6085.73,321,1962.65,32237,18395.87,2856,3851.71
Nalbari,18617,3309.19,1136,268.63,3511,3675.43,614,730.68,206,1141.07,25,159.11,22334,8125.69,1775,1158.42
Sivasagar,4244,986.74,891,268.21,3867,4420.31,350,390.58,633,3331.02,28,144.5,8744,8738.07,1269,803.29
Sonitpur,13329,2419.5,877,257.93,4919,6327.3,585,741.61,705,3510.81,46,248.32,18953,12257.609999999999,1508,1247.86
South Salmara,100,19.65,35,12.61,228,266.13,84,124.73,13,85,2,10.06,341,370.78,121,147.4
Tinsukia,4374,1047.55,725,214.61,5161,7531.18,599,830.43,1026,5412.71,39,226.92,10561,13991.439999999999,1363,1271.96
Udalguri,1722,538.67,666,266.26,1717,2079.94,738,924.39,64,387.21,7,32.53,3503,3005.82,1411,1223.18
West Karbi Anglong,346,57.6,73,20.73,284,437.16,22,34.54,551,1912.44,3,7.18,1181,2407.2000000000003,98,62.449999999999996
