district,SC Disb No.,SC Disb Amt.,SC O/S No.,SC O/S Amt.,ST Disb No.,ST Disb Amt.,ST O/S No.,ST O/S Amt.
Baksa,285,392.13,4269,4230.76,895,1140.32,14417,17637.19
Barpeta,768,599.36,20943,13437.9,295,523.13,9181,7926.14
Biswanath,371,380.94,11155,7622.97,616,589.75,12451,9107.04
Bongaigaon,683,604.13,9593,9639.14,351,699.97,5084,8513.62
Cachar,3061,1911.87,47970,34487.13,419,485.25,10095,11390.15
Charaideo,33,40.78,1666,1318.1,46,47.79,1665,1252.02
Chirang,492,357.26,5921,4739.06,854,2046.72,15356,20352.92
Darrang,211,155.62,4491,3607.41,213,171.35,4464,3750.89
Dhemaji,315,376.3,7412,6370.6,1573,2015.75,25260,27888.46
Dhubri,1101,693.86,16857,11805.65,483,377.3,6632,5137.38
Dibrugarh,950,1657.4,18744,22915.39,1338,3729,22863,36025.97
Dima Hasao,61,79.78,1271,1838.15,333,583.93,3711,7721.78
Goalpara,377,325.13,5717,4661.33,809,666.89,17400,13746.13
Golaghat,783,787.41,20092,13814.87,738,933.36,19766,15264.75
Hailakandi,738,334.84,8805,6712.5,116,103.22,2045,2178.13
Hojai,735,614.9,16492,10656.41,379,427.57,6243,6016.53
Jorhat,761,1019.15,19897,13430.33,674,979.86,18171,14930.11
KARIMGANJ,1938,978.74,30820,17458.24,204,208.88,4201,3957.34
Kamrup,1149,1143.38,26561,18573.65,1030,1185.52,24627,19639.24
Kamrup Metro,1150,2810.42,22301,43493.23,1288,4730.29,23694,68125.78
Karbi Anglong,287,249.68,1179,2333.18,1562,2359.3,17054,29021.31
Kokrajhar,230,277.2,2731,3749.99,1485,1958.61,18789,33052.09
Lakhimpur,625,695.91,19905,16774.67,1498,2004.84,27155,29301.56
Majuli,60,50.39,1419,918.62,108,95.91,2756,2334.75
Morigaon,713,444.27,20216,11586.81,799,572.77,26235,14896.07
Nagaon,1104,1138.4,32986,21589.23,868,836.93,21097,16794.18
Nalbari,280,380.32,7545,6058.92,181,252.27,5349,4956.58
Sivasagar,432,806.8,11389,11274.36,438,948.11,7621,11884.44
Sonitpur,1007,853.33,19153,14452.7,939,752.23,20042,15005.65
South Salmara,3,8.08,71,129.21,4,0.63,41,75.65
Tinsukia,784,927.67,9405,10915.57,751,1130.44,12196,17764.58
Udalguri,337,312.28,3005,2436.27,1469,1382.43,29789,32465.28
West Karbi Anglong,28,59.38,187,512.91,312,560.96,2962,6435.52
