district,Small and Marginal Farmers No.,Small and Marginal Farmers Amt.,Scheduled Castes No.,Scheduled Castes Amt.,Scheduled Tribes No.,Scheduled Tribes Amt.,DRI scheme No.,DRI scheme Amt.,Self Help Groups No.,Self Help Groups Amt.,women beneficiaries No.,women beneficiaries Amt.,Minority communities No.,Minority communities Amt.,PMJDY No.,PMJDY Amt.,Others No.,Others Amt.,Tot Weaker Sec O/S No.,Tot Weaker Sec O/S Amt.
Baksa,25428,15303.99,3719,2755.52,11536,8042.58,49,16.43,3138,2281.86,5028,2106.47,12307,10471.18,26,0.46,1583,1234.5,62814,42212.99
Barpeta,44122,25527.49,5893,3943.18,3188,2819.25,199,31.94,4305,3500.08,20908,6711,33921,31883.67,64,1.33,8442,7701.11,121042,82119.05
Biswanath,25338,13582.03,4855,2730.82,8085,4299.46,57,1.22,5192,3661.63,6344,2354.63,8188,5290.57,22,0.05,6080,5597.27,64161,37517.68000000001
Bongaigaon,14303,7779.33,2995,2565.21,1843,2697.51,97,4.57,1200,1122.6,5277,2367.18,7238,8926.17,189,1.41,13410,8596.57,46552,34060.55
Cachar,52910,36663.54,15795,13331.89,6153,5825.84,514,6.71,3771,2816.28,20365,8710.63,29559,27124.5,288,6.39,45300,44808.78,174655,139294.56
Charaideo,11723,6946.87,1051,1012.58,684,665.96,48,0.74,1494,1166.11,2964,1358.37,906,1145.02,8,0.02,3940,4233.36,22818,16529.030000000002
Chirang,18356,9782.29,1876,1408.2,11343,8827.82,20,0.17,2208,1847.42,5516,2773.24,11423,7695.02,7,0.1,2712,2141.58,53461,34475.84
Darrang,37739,22231.82,2445,1839.81,2127,1572,101,6.84,3264,2815.68,13394,4195.5,26677,23383.99,60,0.45,5356,4759.18,91163,60805.27
Dhemaji,26036,15803.11,5021,3343.59,17391,11156.95,121,0.9,3913,2584.04,6361,3097,1760,1533.9,15,0.02,7494,7098.53,68112,44618.04
Dhubri,29171,16127.68,4233,2968.65,2828,1892.21,152,9.91,2743,1555.72,6790,3139.29,28104,20676.77,271,1.3,16959,10473.74,91251,56845.270000000004
Dibrugarh,72084,42158.06,10982,8384.2,12869,10538.17,334,25.54,3825,2806.73,37087,13153.02,8019,11226.16,149,4.59,22024,22763.34,167373,111059.81
Dima Hasao,3828,3589.1,1070,1257.73,2176,3156.93,61,0.51,998,669.25,2447,1216.55,1690,5488.36,9,0.17,3215,3673.02,15494,19051.62
Goalpara,27430,14072.2,3512,2334.57,9530,5210.77,73,1.89,2873,1915.53,10310,3410.37,16667,12068.89,63,1.37,4833,5227.48,75291,44243.07000000001
Golaghat,66441,34358.23,8484,6187.67,11459,7194.09,228,2.37,4049,3717.53,21843,6451.74,7293,6735.4,247,4.61,21751,14654.86,141795,79306.5
Hailakandi,18819,10184.52,3115,2408.22,1441,1253.55,106,6.25,1602,1063.2,3601,1682.01,15069,11186.76,34,0.62,7547,5750.92,51334,33536.05
Hojai,22540,13771.33,6848,4483.61,3197,2507.4,202,2,1826,1381.42,5766,2761.63,10747,7936.8,118,3.57,14928,10949.98,66172,43797.740000000005
Jorhat,39503,21111.51,8377,6725.59,10980,7732.21,250,51.37,3058,2552.1,20876,20159.35,5766,12252.1,183,4.74,30796,19926.44,119789,90515.41
KARIMGANJ,19554,10861.66,6236,3852.62,2788,2070.59,173,2.09,2502,1454.43,9991,3155.36,12904,12155.81,86,2.37,15977,10843.99,70211,44398.92
Kamrup,65671,38932.36,9710,6502.29,10256,6851.56,239,14.5,5543,4081.58,26944,8349.55,25059,23588.93,164,3.89,13244,10776.17,156830,99100.82999999999
Kamrup Metro,19308,17880.31,7883,12383.43,9780,18665.06,267,22.29,2007,1973.41,11048,5788.42,9903,45016.62,202,9.2,22405,14424.37,82803,116163.11
Karbi Anglong,9915,4814.47,716,964.36,11351,11059.26,30,1.36,3518,1434.17,12970,3451.77,860,1647.8,9,0.11,1979,2361.05,41348,25734.350000000002
Kokrajhar,19433,11271.72,2241,1721.61,11895,10548.22,62,0.25,1776,1436.29,6593,3070.66,11756,6817.93,29,1.04,5071,3825.61,58856,38693.33
Lakhimpur,58037,41289.43,12711,9677.11,17856,14671.14,353,1.89,6224,4893.83,21356,8702.28,14606,12206.93,49,0.1,26468,34072.58,157660,125515.29
Majuli,4972,2637.29,1400,816.98,2983,2116.07,17,0.68,710,491.55,1020,514.46,352,731.32,6,0.08,982,1350.72,12442,8659.15
Morigaon,35990,20146.15,7518,4995.43,11078,6645.72,237,9.33,3972,2610.36,8853,3164.47,11387,8465.43,208,2.83,12856,9294.57,92099,55334.29000000001
Nagaon,66590,39790.05,15051,10186.53,9718,7735.08,474,6.14,4936,4252.11,34626,11367.29,48325,34815.14,612,11.07,41494,33752.9,221826,141916.31000000003
Nalbari,30187,16721.43,4268,3171.88,3215,2366.09,116,12.43,5106,4947.2,20535,5301.65,14874,11039.1,45,1.14,7479,5570.87,85825,49131.79
Sivasagar,34644,17058.9,5968,4142.1,3536,3011.01,170,5.17,1962,1616.28,16907,5385.63,6203,10731.36,205,8.22,16079,9641.63,85674,51600.299999999996
Sonitpur,34897,22016.13,7247,6143.29,7689,5325.91,173,1.71,5824,4375.89,13808,6070.75,15864,16820.58,258,194.73,27101,20612.43,112861,81561.42000000001
South Salmara,927,558.89,62,117.72,245,374.82,0,0,113,87.16,283,167.25,1464,1513.42,8,0.03,320,353.79,3422,3173.0800000000004
Tinsukia,41548,28377.85,3918,3784.24,5611,5526.3,181,8.13,3099,2396.49,24127,8562.63,3758,9181.76,274,3.81,9300,8123.42,91816,65964.62999999999
Udalguri,32797,20384.88,2769,1551.59,26601,20187.62,32,2.75,2097,1716.48,6377,3440.74,7511,6738.72,49,1.48,2769,2848.35,81002,56872.61
West Karbi Anglong,2208,1191.58,83,117.4,1607,1850.66,1,0.01,2332,981.85,4203,1220.16,196,243.42,16,0.51,1,0.95,10647,5606.540000000001
