District,Micro No.,Micro Amt,Small No.,Small Amt,Medium No.,Medium Amt,KVIC No.,KVIC Amt,Other MSME No.,Other MSME Amt,Tot MSME (PS) NPA No.,Tot MSME (PS) NPA Amt
Baksa,3601,3386.57,359,544.95,4,29.13,617,840.8,3803,3381.2,8384,8182.650000000001
Barpeta,6134,6277.77,697,1852.02,14,214.4,272,447.04,7021,10138,14138,18929.230000000003
Biswanath,2619,1647.39,195,460.39,9,460.19,118,181.38,6479,8880.15,9420,11629.5
Bongaigaon,1889,1486.41,130,464.36,8,136.74,410,549.79,1340,4257.32,3777,6894.62
Cachar,5708,6062.92,449,2551.62,3,141.51,291,461.6,4160,8143.84,10611,17361.49
Charaideo,1514,1068.28,116,706.96,4,57.11,82,160.06,1173,3044.45,2889,5036.86
Chirang,1645,1742.66,482,621.3,1,0.26,676,867.6,4608,4617.05,7412,7848.870000000001
Darrang,3412,3483.67,376,674.19,4,34.38,486,744.58,3429,4738.08,7707,9674.900000000001
Dhemaji,1771,1622.35,253,648.08,3,11.39,183,285.32,2306,1925.16,4516,4492.3
Dhubri,3558,2857.04,1368,1541.1,5,22.38,397,463.02,9270,9875.44,14598,14758.98
Dibrugarh,7271,6796.4,805,4465.58,34,1017.52,228,371.28,8155,13805.78,16493,26456.56
Dima Hasao,122,210.48,7,14,0,0,0,0,0,0,129,224.48
Goalpara,3278,3487.92,430,902.76,16,144.71,370,501.34,7261,8241.95,11355,13278.68
Golaghat,3824,2808.03,141,1526.43,6,18.19,236,313.36,1770,997.94,5977,5663.949999999999
Hailakandi,1217,1119.1,42,304.4,0,0,219,314.71,151,103.39,1629,1841.6000000000001
Hojai,1439,1768.45,163,288.2,0,0,15,24.49,1205,1614.81,2822,3695.95
Jorhat,5703,5625.7,365,4289.24,13,650.24,160,251.24,2450,4364.88,8691,15181.3
Kamrup Metro,7407,7072.63,649,1600.74,17,119.91,485,713.91,6121,6357.48,14679,15864.67
Karbi Anglong,543,519.21,92,179.06,1,0.23,9,6.7,1265,1642.53,1910,2347.73
Karimganj,2584,2260.24,91,714.87,1,67,119,181.41,1390,1102.91,4185,4326.429999999999
Kokrajhar,2715,2617.12,814,1073.02,2,11.91,708,833.77,10557,7708.61,14796,12244.43
Lakhimpur,3683,4194.14,321,1531.84,2,47.31,186,295.5,1461,4017.71,5653,10086.5
Majuli,522,713.69,170,432.89,1,5.79,34,41.48,3246,4460.65,3973,5654.5
Morigaon,3017,3006.53,120,790.8,3,120.35,323,491.99,2209,2296.63,5672,6706.3
Nagaon,5882,9059.74,180,1168.12,2,22.36,434,656.43,823,1020.13,7321,11926.78
Nalbari,4867,4870.49,604,893.23,4,19.85,467,789.95,6339,5617.72,12281,12191.24
Sivasagar,3158,2565.42,199,1343,2,8.74,144,310.95,3102,4490.36,6605,8718.47
Sonitpur,4199,3880.41,1412,2917.44,31,513.79,342,547.28,9497,15741.51,15481,23600.43
South Salmara,297,465.63,127,187.99,0,0,157,211.09,1610,2487.04,2191,3351.75
Tinsukia,4250,4724.7,344,1729.27,3,88.97,154,231.88,3600,6683.22,8351,13458.04
Udalguri,2870,2363.42,2093,4035.22,2,10.83,478,809.78,12151,10679.4,17594,17898.649999999998
West Karbi Anglong,155,60.44,1,0.75,0,0,1,0.17,0,0,157,61.36
