district,BHIM/UPI A/c,BHIM/UPI Amt.,BHIM Aadhaar A/C,BHIM Aadhaar Amt.,Bharat QR Code A/C,Bharat QR Code Amt.,IMPS A/C,IMPS Amt.,Cards (Debit & Credit) A/C,Cards (Debit & Credit) Amt.,USSD A/C,USSD Amt.
Baksa,4631196,140652.81,1059,36.12,2994,132.03,379606,52643.13,77413,12056.01,0,0
Barpeta,42011426,1528570.92,380,101.05,256,31.53,4060745,813971.51,146485,112993.79,0,0
Biswanath,21658279,454518.5,7,11,6,0.18,1175730,265775.18,85621,67302.54,0,0
Bongaigaon,14629017,526527.42,326,80.52,714,40.78,2119361,397789.82,64040,109804.02,0,0
Cachar,28769449,959247.72,1423,276.7,1350,127.25,6874008,1366432.08,161469,161153.15,0,0
Charaideo,236001,4135.17,473,104.25,472,218.24,5149,833.09,22476,13958.41,0,0
Chirang,342996,6582.02,2,2,4,0.18,6670,515.26,26840,6761.3,0,0
Darrang,15741819,522306.14,464,83.86,474,81.47,1824751,369630.85,80681,20375.13,0,0
Dhemaji,2821721,91836.1,373,98.26,386,92.59,338037,52571.71,43891,86804.08,0,0
Dhubri,14331876,442362.79,1756,146.34,482,114.06,1453668,146157.04,95187,40204.14,0,0
Dibrugarh,57671438,1846498.22,2695,547.31,4384,662.04,12379052,2212871.54,229442,253206.91,25,4.05
Dima Hasao,189217,4133.6,3,5,0,0,602,64.68,4642,5527.83,0,0
Goalpara,14196627,435491.14,603,164.49,592,274.41,1351590,217794.45,85096,58016.69,0,0
Golaghat,23254930,868933.76,20,29.32,30,7.38,4903453,967768.24,120178,122401.7,0,0
Hailakandi,769908,36761.59,24,10.17,6,0.23,142336,47081.6,32671,58634.23,0,0
Hojai,15952640,633166.29,29482,5944.25,28115,6691.4,2802850,619397.76,484690,1321878.39,0,0
Jorhat,46124149,1427400.03,2231,412.28,2737,397.69,10829718,1813189.62,237309,140600.36,25,4.05
Kamrup Metro,47357054,1420083.4,14,20,35,1.35,6503429,1214783.66,345639,76761.98,0,0
Karbi Anglong,10053977,298083.11,2,4,3,0.02,1731076,230600.57,34540,9377.67,0,0
Karimganj,11446644,508252.37,569,134.62,554,121.35,2753392,693937.23,40247,25526.81,0,0
Kokrajhar,8085052,291672.02,12,4.4,14,0.21,1098285,174385.63,48093,4531.22,0,0
Lakhimpur,19870916,593771.59,84,90.45,14,30.05,2748771,781977.42,64537,70247.55,0,0
Majuli,124832,1896.86,487,106.25,466,221.12,3216,346.42,15389,9339.08,0,0
Morigaon,16396723,553223.73,354,92.15,542,33.06,1137318,383622.28,51059,39352.85,0,0
Nagaon,28650622,889694.78,1425,336.25,2382,659.59,3249523,599299.01,128618,169337.6,0,0
Nalbari,11982379,338131.72,513,114.05,479,222.22,1571879,289805.4,93311,74264.94,0,0
Sivasagar,24993457,772654.9,517,124.78,780,231.47,4565524,772953.3,110844,59515.71,25,4.05
Sonitpur,29243305,950708.16,514,131.68,901,237.27,5479650,855440.49,183928,107353.77,0,0
South Salmara,77924,1410.27,0,0,1,0.01,6928,587.53,6038,273.72,0,0
Tinsukia,44885921,1609546.35,3340,628.3,3363,720.2,11183708,2489345.92,170987,198206.07,25,4.05
Udalguri,576405,10188.92,12,6.27,0,0,15482,1255.04,45547,61324.94,0,0
West Karbi Anglong,175974,2977.32,45,0.83,0,0,2209,180.93,2512,887.93,0,0
