District,Christians No.,Christians Amt,Muslims Amt,Buddhists No.,Buddhists Amt,Sikhs No.,Sikhs Amt,Zoroastrians No.,Zoroastrians Amt,Jains No.,Jains Amt,Tot Loan to Minority O/S No.,Tot Loan to Minority O/S Amt
Baksa,238,213.41,16381.63,5,12.62,4,6.71,0,0,24,32.6,16203,16646.969999999998
Barpeta,212,396.9,72156.2,13,14.67,5,12.29,3,3.24,10,11.57,101165,72594.87
Biswanath,984,497.62,10093.7,17,11.81,20,61.03,5,3.33,28,193.12,16897,10860.610000000002
Bongaigaon,2423,1047.29,27119.93,66,35.43,23,65,1,1.27,17,72.55,34669,28341.47
Cachar,2825,3126.94,77536.52,33,155.18,25,94.39,3,0.54,37,285.21,104223,81198.78
Charaideo,170,96.08,2194.25,51,63.46,11,15.97,2,6.69,1,0.05,3213,2376.5
Chirang,3417,2364.13,11012.42,37,17.96,4,2.13,4,4.43,4,2.68,18633,13403.749999999998
Darrang,308,388.55,44701.03,26,29.57,5,13.45,1,0.43,19,24.5,63976,45157.53
Dhemaji,265,231.12,2079.56,7,5.11,91,472.07,3,6.15,519,1543.94,3080,4337.950000000001
Dhubri,1868,1051.22,80348.42,22,32.07,9,34.16,3,1.84,24,168.18,106722,81635.89
Dibrugarh,2923,2883.35,21026.17,144,384.81,376,2035.34,31,19.71,1128,8067.4,22480,34416.78
Dima Hasao,1869,4547.78,654.53,4,10.95,5,13.06,0,0,0,0,2285,5226.32
Goalpara,4921,3272.22,30912.62,25,24.87,12,11.03,14,6.2,9,34.77,43947,34261.70999999999
Golaghat,2900,1594.57,12273.62,128,89.56,119,443.21,14,19.77,65,1505.66,21456,15926.39
Hailakandi,225,291.14,27135.8,3,1.93,1,1.51,0,0,2,1.47,31622,27431.85
Hojai,281,282.96,24790.73,1,1.84,20,40.06,0,0,1,0.21,35389,25115.8
Jorhat,1264,3679.71,15565.76,93,435.79,124,705.86,21,21.86,307,2346.43,17311,22755.410000000003
Kamrup Metro,1630,1327.97,58790.16,37,84.53,54,421.36,1,1.71,29,100.9,81608,60726.630000000005
Karbi Anglong,2916,2548.47,1326.92,51,168.24,9,15.84,0,0,8,33.45,4124,4092.92
Karimganj,818,749.09,35451.32,10,8.11,37,120.21,0,0,6,75.41,53175,36404.14
Kokrajhar,3291,2105.08,8463.68,5,5.42,6,6.81,1,0.39,8,15.01,13273,10596.39
Lakhimpur,1567,962.33,18952.13,20,39.42,130,486.62,33,60.11,100,1616.27,33032,22116.88
Majuli,10,4.67,958.72,5,5.08,0,0,0,0,0,0,902,968.47
Morigaon,186,172.72,30393.67,6,19.45,3,2.59,3,3.45,13,49.07,53882,30640.95
Nagaon,920,1228.14,91533.35,43,168.55,184,462.03,4,4.58,31,105.53,146279,93502.18000000001
Nalbari,108,97.65,21042.93,8,3.24,5,20.8,3,2.27,6,29.12,30153,21196.010000000002
Sivasagar,728,977.38,20577.5,88,77.22,60,118.32,23,25.72,139,1214.61,23481,22990.750000000004
Sonitpur,1756,2007.98,29537.54,50,169.77,51,193.42,23,8.03,29,174.04,46435,32090.78
South Salmara,32,50.46,3296.11,0,0,4,4.37,0,0,0,0,1896,3350.94
Tinsukia,1667,2835.58,12295.49,389,638.79,146,1143.79,22,19.82,481,1106.77,13575,18040.24
Udalguri,5751,8015.2,5776.28,19,11.22,5,6.33,5,2.66,4,0.76,11440,13812.449999999999
West Karbi Anglong,338,478.85,85.05,1,0.09,5,1.56,0,0,0,0,379,565.55
