District,Micro No.,Micro Amt,Small No.,Small Amt,Medium No.,Medium Amt,Other Msme No.,Other Msme Amt,Total Msme (PS) O/S No.,Total Msme (PS) O/S Amt
Baksa,18967,11994.287657954254,138,900.4894332293939,133,14.79430501635207,578,118.31,19816,13027.8813962
Barpeta,75851,55818.48343614604,1503,15178.338932818977,89,2671.3779675349783,392,103.94,77835,73772.1403365
Biswanath,30858,17969.65547255657,221,5237.022097018405,10,1167.6056601250234,520,182.36,31609,24556.6432297
Bongaigaon,41553,30092.778628334683,994,13471.32437296532,80,2408.57,258,124.52,42885,46097.193001299995
Cachar,129602,98741.05389413521,1877,22946.039509784074,161,3712.3670752806997,340,263.78,131980,125663.24047919999
Charaideo,11412,7724.112542452008,109,2337.3346127479927,2,42,153,13.3,11676,10116.747155199999
Chirang,20415,14726.262387107608,101,2490.4100552923883,36,17.43,99,44.5,20651,17278.602442399995
Darrang,38639,29410.326044646743,441,5114.0485786532545,20,375.66,289,78.61,39389,34978.64462330001
Dhemaji,32699,16965.010912518417,440,4235.571865581583,11,647.67,669,184.15,33819,22032.402778099997
Dhubri,73614,46188.79700412462,598,5949.951101875374,14,646.93,403,57.34,74629,52843.018105999996
Dibrugarh,73264,73137.8176476791,2877,53264.48675715592,230,9968.602715164996,1390,433.7,77761,136804.60712000003
Dima Hasao,1181,2152.991838385515,204,695.6120983144849,17,13.15,88,36.54,1490,2898.2939367
Goalpara,35367,21207.60824206706,373,3688.4199786329386,18,335.77,612,163.98,36370,25395.778220700002
Golaghat,47950,30622.80351134329,890,15279.890285456708,35,1825.88,934,264.56,49809,47993.13379679999
Hailakandi,19506,12761.438308548368,306,3572.021153451632,4,25.55,225,110.18,20041,16469.189462
Hojai,33699,23564.335180910744,354,2636.9432919892656,6,63.74,286,69.89,34345,26334.908472900013
Jorhat,65344,61599.83885010042,2622,52610.12957304415,99,9208.78251045546,842,225.24,68907,123643.99093360004
Kamrup Metro,155186,84626.13204781238,2446,18236.97741203472,369,4148.722540352889,1146,321.25,159147,107333.0820002
Karbi Anglong,12445,6540.4526745539015,232,2115.5356020257186,45,361.79338114768143,208,43.86,12930,9061.641657727303
Karimganj,63245,40168.821916526256,787,7462.579736394189,13,1669.562231779557,432,190.81,64477,49491.7738847
Kokrajhar,7523,9257.744787701846,221,1614.4401608981532,5,59.05,180,62.8,7929,10994.034948599998
Lakhimpur,57856,38058.5030859258,856,12907.992829874196,19,589.41,1842,721.56,60573,52277.4659158
Majuli,4010,4257.667093723685,46,592.0393661763155,0,0,88,44.18,4144,4893.8864599
Morigaon,32281,24085.505032639456,384,3818.8868369605443,8,276.15,485,84.95,33158,28265.491869600002
Nagaon,76280,63749.89213116565,1748,18510.090214587795,41,896.1190698465684,829,163.61,78898,83319.71141560003
Nalbari,40894,26535.919460054196,732,5359.573488145805,25,1223.24,629,146.28,42280,33265.0129482
Sivasagar,41637,35993.549847028786,1414,19072.879955203312,22,1819.6495893679078,1092,272.97,44165,57159.049391600005
Sonitpur,68367,57285.98583068845,1762,24259.439059375298,111,5653.641531036232,855,201.33,71095,87400.39642109998
South Salmara,954,1402.4003,8,126.64,0,0,0,0,962,1529.0403000000001
Tinsukia,58075,59103.93619402696,2707,37628.22885730771,116,5681.638745665313,460,178.77,61358,102592.57379699999
Udalguri,15336,12465.579255588058,156,1298.8634828119407,1,14.24,303,77.04,15796,13855.722738399998
West Karbi Anglong,1188,643.8926457662992,9,115.42945083370074,0,0,3,0.91,1200,760.2320965999999
