district,Branch Rural,Branch Semi-Ur- ban,Branch Urban,Total Branch,ATM Rural,ATM Semi-Ur- ban,ATM Urban,Total ATM,BC Fixed,BC Other,BC Total
East Garo Hills,7,7,1,15,5,6,0,11,31,4,35
East Jaintia Hills,19,3,0,22,13,1,0,14,36,24,60
East Khasi Hills,49,27,111,187,37,19,195,251,111,18,129
North Garo Hills,7,3,0,10,8,1,0,9,16,5,21
Ri Bhoi,34,15,1,50,28,12,1,41,40,22,62
South Garo Hills,3,3,1,7,5,0,0,5,12,5,17
South West Garo Hills,10,3,0,13,6,0,0,6,40,4,44
South West Khasi Hills,6,1,0,7,6,0,0,6,3,10,13
West Garo Hills,18,19,5,42,13,23,1,37,166,33,199
West Jaintia Hills,20,21,3,44,9,17,1,27,45,23,68
