district,PMAY Amount O/S,No PMAY O/S,der Year bursed Amount PMAY un- Dis- Current,PMAY under Year Current No Disbursed,Amount PMAY Eligible Housing O/S under Loan,No ble Loan PMAY Housing under O/S Eligi-,Loan Rural Amount O/S Housing,No Loan Rural Housing O/S,Loan (NPS) Amount Housing O/S,Loan O/S No Housing (NPS),O/S Loan Housing (PS) Amount,O/S Loan No Housing (PS)
East Garo Hills,17,1,0,0,17,1,75.67,10,148.55,5,779.37,163
East Jaintia Hills,8.06,2,0,0,8.06,2,1503.21,86,874.22,11,667.14,2545
East Khasi Hills,3653.19,196,284.3,23,3449.19,187,7173.3,738,27162.82,909,37959.01,5558
North Garo Hills,9.9,1,9.9,1,9.9,1,506.02,85,48.78,3,839.03,208
Ri Bhoi,1216.71,71,136.65,15,1173.35,71,19031.89,1622,10377.78,331,10693.02,1510
South Garo Hills,0,0,0,0,0,0,327.04,26,59.16,2,477.2,79
South West Garo Hills,0,0,0,0,0,0,417.64,52,149.64,4,415.84,74
South West Khasi Hills,0,0,0,0,0,0,129.84,27,0,0,153.04,36
West Garo Hills,269.96,27,0,0,255.92,24,1448.82,239,1974.56,81,6990.32,1128
West Jaintia Hills,134.78,12,16.12,1,31.17,8,521.31,49,709.51,22,3559.07,458
West Khasi Hills,403.27,45,47.4,3,393.05,44,565.91,93,302.8,13,1780.32,263
