district,CHRISTIANS No.,CHRISTIANS Amt,MUSLIMS No,MUSLIMS Amt.
East Garo Hills,518,495.09,45,97.52
East Jaintia Hills,1990,4665.07,90,147.61
East Khasi Hills,46608,73564.93,2120,7210.63
North Garo Hills,120,158.32,27,92.11
REBHOI,14553,10736.23,1149,4985.18
South Garo Hills,343,430.38,10,47.5
South West Garo Hills,980,856.85,417,1074.63
South West Khasi Hills,2109,2100.08,5,28.29
West Garo Hills,4788,7801.5,3037,5940.31
West Jaintia Hills,8886,15783.39,99,193.62
West Khasi Hills,9261,10962.88,12,28.7
