district,Enrolment under PMJJBY,eligible cases under PMJJBY,renewals under PMJJBY,Enrolment under PMSBY,eligible cases under PMSBY,renewals under PMSBY,Enrolment under APY,Total Enrol- ment No.
East Garo Hills,2347,42125,644,5691,63158,2105,1057,9095
East Jaintia Hills,3631,15721,2457,9624,23525,7118,1074,14329
East Khasi Hills,31226,291811,19701,56815,391160,37777,8525,96566
North Garo Hills,3544,46856,2030,8636,76914,5909,3401,15581
Ri Bhoi,11178,71855,5943,27975,103233,16062,2364,41517
South Garo Hills,978,21602,649,2103,31185,1116,400,3481
South West Garo Hills,4926,50989,1282,11597,81253,3338,946,17469
South West Khasi Hills,3350,21483,1889,3483,28935,1777,321,7154
West Garo Hills,11547,158267,6544,29563,257216,16207,3712,44822
West Jaintia Hills,6340,74425,3593,19677,99196,11836,1308,27325
West Khasi Hills,7190,34953,3893,11464,44256,5303,747,19401
