district,Crop Loan A/C,Crop Loan Amt,Forestry and waste- land Dev. A/C Nos,Forestry and waste- land Dev. Amt,Water Resource A/C Nos,Water Resource Amount,Farm mechanization A/C Nos,Farm mecha- nization Amount,Planta- tion & horti- culture A/C Nos,Planta- tion & horti- culture Amount
EAST GARO HILLS Total,754,398.81,2,1.24,0,0,0,0,0,0
EAST JAINTIA HILLS Total,56,33.58,0,0,0,0,0,0,18,15.56
EAST KHASI HILLS Total,4132,2140.54,0,0,1,4.77,4,14.54,29,23.1
NORTH GARO HILLS Total,403,176,2,0.23,0,0,0,0,0,0
RI BHOI Total,4238,2511.83,0,0,0,0,30,108,1,0.45
SOUTH GARO HILLS Total,97,53.1,0,0,0,0,0,0,7,6.5
SOUTH WEST GARO HILLS Total,924,508.58,0,0,0,0,0,0,39,50.49
SOUTH WEST KHASI HILLS Total,150,99.7,0,0,17,43.16,0,0,0,0
WEST GARO HILLS Total,1226,563.6,0,0,1,0.07,22,22,4,4
WEST JAINTIA HILLS Total,839,507.48,0,0,0,0,0,0,7,9.9
WEST KHASI HILLS Total,513,358.31,3,2.01,0,0,0,0,0,0
