district,Agri (PS) Total O/S No.,Agri (PS) Total O/S Amount,MSME (PS) Total O/S No.,MSME (PS) Total O/S Amount,Other PS Total O/S No.,Other PS Total O/S Amount,Total PS O/S No.,Total PS O/S Amount
East Garo Hills,9374,6629.49,1262,1457.2,236,990.29,10872,9076.98
East Jaintia Hills,2735,4115,1788,4468.56,122,727.36,4645,9310.92
East Khasi Hills,29284,129505.23,40527,231055.14,16517,53048.29,86328,413608.66
North Garo Hills,8523,3823.57,477,861.4,155,475.67,9155,5160.64
South Garo Hills,2030,2068.09,508,1052.46,183,1320.66,2721,4441.21
South West Garo Hills,6689,4308.59,1154,1673.96,86,622.31,7929,6604.86
South West Khasi Hills,2294,2108.54,569,1576.14,149,653.58,3012,4338.26
West Garo Hills,15084,12143.45,5806,9911.71,1105,3571.36,21995,25626.52
West Jaintia Hills,7909,17766.67,7229,13612.58,521,2848.97,15659,34228.22
West Khasi Hills,16000,8784.1,3323,4633.63,1350,7156.03,20673,20573.76
