district,total_enrolment_uner_social_security_schemes,total_no_of_apy,total_no_of_pmjjby,total_no_of_pmsby,total_no_pmjdy_a_c
Alipurduar,731005.0,68929.0,200380.0,461696.0,615758.0
Bankura,2028648.0,214336.0,465830.0,1348482.0,2381243.0
Birbhum,2510590.0,260368.0,695886.0,1554336.0,2437975.0
Cooch Behar,1714463.0,211204.0,426229.0,1077030.0,1733022.0
Dakshin Dinajpur,1057961.0,110394.0,271212.0,676355.0,1265679.0
Darjeeling,1264004.0,115685.0,368547.0,779772.0,666198.0
Hooghly,2876024.0,341632.0,696649.0,1837743.0,2520307.0
Howrah,2253891.0,252357.0,543995.0,1457539.0,2158642.0
Jalpaiguri,1719909.0,201562.0,460561.0,1057786.0,1620629.0
Jhargram,528754.0,44590.0,128921.0,355243.0,494155.0
Kalimpong,78554.0,6826.0,22869.0,48859.0,32465.0
Kolkata,2710575.0,223597.0,564198.0,1922780.0,1006215.0
Malda,2469793.0,316334.0,615893.0,1537566.0,3553864.0
Murshidabad,4366956.0,529420.0,1056946.0,2780590.0,4901613.0
Nadia,2837391.0,319487.0,656779.0,1861125.0,3292252.0
North 24 Parganas,4607397.0,490267.0,1077432.0,3039698.0,4720957.0
Paschim Bardhaman,1777827.0,74419.0,444563.0,1258845.0,1554417.0
Paschim Medinipur,2474019.0,304345.0,567640.0,1602034.0,2782050.0
Purba Bardhaman,2157681.0,334313.0,614835.0,1208533.0,2335906.0
Purba Medinipur,2670074.0,399433.0,594617.0,1676024.0,2701839.0
Purulia,1466375.0,155598.0,358384.0,952393.0,2163150.0
South 24 Parganas,4003480.0,414213.0,892573.0,2696694.0,5350441.0
Uttar Dinajpur,1588334.0,182731.0,396533.0,1009070.0,2833691.0
