district,amount,average_disbursement_amount_in_lakh,disbursement_no,of_achievement_no,outstanding_no,sanction_no,target_2024_25_no
Alipurduar,77.19,2.32,19026.0,167.5,24094.0,10419.0,11359.0
Bankura,59.29,2.02,40671.0,118.66,60470.0,22909.0,34275.0
Birbhum,69.93,2.82,48647.0,99.69,68166.0,35901.0,48800.0
Cooch Behar,78.24,2.25,47157.0,179.13,56297.0,24421.0,26325.0
Dakshin Dinajpur,59.01,1.79,20352.0,125.44,27204.0,9835.0,16225.0
Darjeeling,82.71,3.38,6459.0,106.95,7819.0,4406.0,6039.0
Hooghly,83.87,2.44,42668.0,136.93,52343.0,27869.0,31160.0
Howrah,67.57,2.67,29023.0,97.11,38486.0,24334.0,29888.0
Jalpaiguri,66.9,2.23,28965.0,140.9,38187.0,19360.0,20557.0
Jhargram,62.55,2.38,14182.0,105.05,19428.0,14514.0,13500.0
Kalimpong,97.95,3.75,2956.0,103.18,3491.0,2228.0,2865.0
Kolkata,100.0,1.57,1286.0,100.0,3378.0,0.0,0.0
Malda,67.76,1.79,47209.0,147.54,62558.0,33103.0,31998.0
Murshidabad,61.08,1.78,61460.0,173.16,85655.0,32929.0,35493.0
Nadia,79.42,1.96,46118.0,142.85,64415.0,21064.0,32284.0
North 24 Parganas,62.13,1.86,59909.0,125.78,79641.0,34108.0,47629.0
Paschim Bardhaman,62.59,2.61,8372.0,73.69,12140.0,5287.0,11361.0
Paschim Medinipur,83.04,3.09,50424.0,102.27,67069.0,34320.0,49304.0
Purba Bardhaman,73.97,2.9,48078.0,103.39,66252.0,27700.0,46500.0
Purba Medinipur,78.82,4.22,56683.0,106.38,81556.0,36637.0,53285.0
Purulia,49.69,1.4,26556.0,114.47,41574.0,22088.0,23200.0
South 24 Parganas,80.8,2.31,68707.0,143.31,87526.0,29062.0,47942.0
Uttar Dinajpur,97.72,2.0,32953.0,182.1,42606.0,15464.0,18096.0
