district,camps_by_rural_branches_no_of_total_rural_branches,no_of_camps_conducted,no_of_flcs,no_of_participants_attended,special_camps_by_flcs_no_of_no_of_target_camps_participants_conducted_attended,target,target_specific_camps_by_flcs_target
Alipurduar,51.0,160.0,0.0,0.0,0.0,153.0,0.0
Bankura,168.0,612.0,1.0,13335.0,6.0,504.0,15.0
Birbhum,212.0,688.0,1.0,713.0,6.0,636.0,15.0
Cooch Behar,136.0,203.0,2.0,6513.0,12.0,408.0,30.0
Dakshin Dinajpur,78.0,232.0,2.0,12229.0,12.0,234.0,30.0
Darjeeling,77.0,220.0,2.0,176.0,12.0,231.0,30.0
Hooghly,237.0,950.0,1.0,0.0,6.0,711.0,15.0
Howrah,115.0,40.0,2.0,1569.0,12.0,345.0,30.0
Jalpaiguri,79.0,242.0,1.0,291.0,6.0,237.0,15.0
Jhargram,83.0,191.0,1.0,4912.0,6.0,249.0,15.0
Kalimpong,12.0,39.0,1.0,0.0,6.0,36.0,15.0
Kolkata,7.0,21.0,1.0,157.0,6.0,21.0,15.0
Malda,151.0,444.0,2.0,0.0,12.0,453.0,30.0
Murshidabad,339.0,1043.0,2.0,584.0,12.0,1017.0,30.0
Nadia,194.0,590.0,1.0,330.0,6.0,582.0,15.0
North 24 Parganas,323.0,814.0,1.0,578.0,6.0,969.0,15.0
Paschim Bardhaman,102.0,178.0,1.0,14548.0,6.0,306.0,15.0
Paschim Medinipur,250.0,382.0,1.0,189.0,6.0,750.0,15.0
Purba Bardhaman,327.0,1147.0,1.0,3624.0,6.0,981.0,15.0
Purba Medinipur,252.0,67.0,2.0,10670.0,12.0,756.0,30.0
Purulia,129.0,396.0,1.0,10617.0,6.0,387.0,15.0
South 24 Parganas,304.0,654.0,1.0,0.0,6.0,912.0,15.0
Uttar Dinajpur,104.0,270.0,1.0,11805.0,6.0,312.0,15.0
