district,amt,pending_above_1_year_no,pending_above_60_days_no,pending_below_60_days_no,pending_from_6_month_to_1_year_no,total_pending_no
Alipurduar,41.42,2.0,2.0,4.0,4.0,12.0
Bankura,25.05,24.0,3.0,7.0,9.0,43.0
Birbhum,17.92,50.0,26.0,8.0,53.0,137.0
Cooch Behar,29.17,12.0,15.0,0.0,46.0,73.0
Dakshin Dinajpur,6.92,37.0,18.0,0.0,9.0,64.0
Darjeeling,82.58,28.0,23.0,6.0,27.0,84.0
Hooghly,109.23,139.0,71.0,34.0,84.0,328.0
Howrah,135.85,145.0,47.0,40.0,88.0,320.0
Jalpaiguri,23.79,15.0,18.0,9.0,24.0,66.0
Jhargram,4.43,11.0,7.0,3.0,6.0,27.0
Kalimpong,1.14,3.0,0.0,2.0,0.0,5.0
Kolkata,192.97,90.0,26.0,29.0,155.0,300.0
Malda,49.07,52.0,10.0,18.0,23.0,103.0
Murshidabad,48.32,64.0,26.0,17.0,30.0,137.0
Nadia,51.25,75.0,27.0,32.0,44.0,178.0
Paschim Bardhaman,155.58,65.0,12.0,21.0,36.0,134.0
Paschim Medinipur,59.21,82.0,23.0,5.0,62.0,172.0
Purba Bardhaman,105.14,211.0,62.0,40.0,58.0,371.0
Purba Medinipur,177.74,109.0,30.0,10.0,35.0,184.0
Purulia,12.98,20.0,5.0,0.0,5.0,30.0
Uttar Dinajpur,12.05,40.0,5.0,0.0,8.0,53.0
