district,amount,no_of_active_shgs,no_of_cases_pending,no_of_sponsored_application_in_fy_fy_24_25,shg_loan_disbursed_no,shg_loan_sanctioned_no,target_amount_of_shg_loan_to_be_disbursed_fy_24_25,target_fy_24_25
Alipurduar,74.31,1353.0,5.0,32.0,35.0,28.0,262.5,175.0
Bankura,246.29,2482.0,7.0,134.0,116.0,131.0,301.5,201.0
Birbhum,450.12,4163.0,73.0,317.0,212.0,214.0,936.0,624.0
Cooch Behar,178.35,1912.0,6.0,140.0,84.0,80.0,439.5,293.0
Dakshin Dinajpur,212.32,2083.0,0.0,107.0,100.0,107.0,436.5,291.0
Darjeeling,267.52,2681.0,11.0,137.0,126.0,126.0,691.5,461.0
Hooghly,940.58,7067.0,41.0,503.0,443.0,438.0,1543.5,1029.0
Howrah,282.39,1746.0,98.0,277.0,133.0,134.0,598.5,399.0
Jalpaiguri,314.23,2113.0,2.0,241.0,148.0,134.0,381.0,254.0
Jhargram,76.44,541.0,7.0,36.0,36.0,36.0,91.5,61.0
Kalimpong,4.25,218.0,3.0,8.0,2.0,2.0,112.5,75.0
Kolkata,284.51,1829.0,0.0,306.0,134.0,146.0,390.0,260.0
Malda,123.15,1104.0,15.0,67.0,58.0,55.0,310.5,207.0
Murshidabad,450.12,6391.0,10.0,236.0,212.0,224.0,1366.5,911.0
Nadia,745.24,6842.0,67.0,530.0,351.0,449.0,1543.5,1029.0
North 24 Parganas,1775.0,17461.0,137.0,1060.0,836.0,912.0,4305.0,2870.0
Paschim Bardhaman,488.34,2859.0,61.0,310.0,230.0,210.0,855.0,570.0
Paschim Medinipur,664.56,4629.0,3.0,288.0,313.0,288.0,667.5,445.0
Purba Bardhaman,520.18,3943.0,0.0,236.0,245.0,236.0,640.5,427.0
Purba Medinipur,360.94,3698.0,16.0,193.0,170.0,168.0,352.5,235.0
Purulia,89.17,1305.0,15.0,62.0,42.0,42.0,285.0,190.0
South 24 Parganas,469.23,4276.0,52.0,280.0,221.0,215.0,1111.5,741.0
Uttar Dinajpur,335.47,2560.0,14.0,180.0,158.0,163.0,600.0,400.0
