district,achiev,agriculture_target,msme_target,of_achiev,ops_target,total_prisec_target
Alipurduar,1868.62,1762.16,649.8,60.27,688.36,3100.32
Bankura,4476.64,5333.79,4912.61,38.64,1339.79,11586.18
Birbhum,5981.12,6045.0,4107.35,51.55,1449.72,11602.07
Cooch Behar,4375.29,5227.38,2565.0,44.53,2032.71,9825.09
Dakshin Dinajpur,2338.05,5353.97,4564.01,21.34,1038.87,10956.85
Darjeeling,7708.32,1160.81,3450.0,136.48,1037.12,5647.92
Hooghly,10024.56,5777.09,5615.4,76.51,1709.69,13102.18
Howrah,10586.48,2706.6,16000.0,53.22,1185.31,19891.91
Jalpaiguri,4786.28,3178.76,3109.1,63.85,1208.8,7496.66
Jhargram,1898.94,3044.78,2432.48,29.84,886.68,6363.93
Kalimpong,365.83,359.72,364.02,43.5,117.19,840.93
Kolkata,93407.41,696.83,25000.0,290.51,6456.58,32153.4
Malda,5757.94,7000.12,3652.32,39.84,3799.51,14451.95
Murshidabad,7545.54,10367.53,8398.15,34.18,3308.59,22074.27
Nadia,6065.76,7571.87,9075.37,32.31,2124.11,18771.35
North 24 Parganas,16081.47,5175.9,16000.0,62.98,4358.45,25534.35
Paschim Bardhaman,8574.89,415.69,7739.57,97.76,615.94,8771.2
Paschim Medinipur,6528.72,11472.58,7082.4,30.86,2600.91,21155.89
Purba Bardhaman,10200.68,9670.7,6437.55,56.41,1974.6,18082.85
Purba Medinipur,9655.29,8403.42,5902.98,57.41,2512.79,16819.19
Purulia,2781.88,4620.62,3949.51,26.65,1869.27,10439.4
South 24 Parganas,8240.09,5996.09,11106.44,42.04,2497.78,19600.31
Uttar Dinajpur,3859.37,4510.81,1395.13,52.77,1407.29,7313.22
