district,aapb_achieved_in_current_fy_2024_25_64,aapb_target_370,annual_target_74515,annual_target_achievement_in_current_fy_2024_25_79,apy_accounts_opened_in_current_fy_2024_25_58730,cumulative_apy_accounts_opened_since_inception_490267,no_of_branches_916,sr_no_1
Alipurduar,118.0,390.0,5580.0,156.0,8695.0,68929.0,74.0,3.0
Bankura,137.0,350.0,22230.0,157.0,34813.0,214336.0,255.0,4.0
Birbhum,104.0,350.0,23440.0,122.0,28571.0,260368.0,276.0,5.0
Cooch Behar,122.0,390.0,17150.0,153.0,26231.0,211204.0,215.0,6.0
Darjeeling,43.0,390.0,20070.0,54.0,10818.0,115685.0,249.0,7.0
Hooghly,90.0,350.0,40915.0,108.0,44330.0,341632.0,493.0,10.0
Howrah,59.0,350.0,34760.0,71.0,24706.0,252357.0,422.0,11.0
Jalpaiguri,100.0,370.0,18930.0,123.0,23203.0,201562.0,233.0,12.0
Jhargram,108.0,350.0,5430.0,123.0,6689.0,44590.0,62.0,13.0
Kalimpong,29.0,285.0,1865.0,34.0,636.0,6826.0,22.0,14.0
Kolkata,16.0,280.0,103445.0,21.0,21339.0,223597.0,1341.0,15.0
Malda,178.0,350.0,19055.0,209.0,39902.0,316334.0,224.0,16.0
Murshidabad,156.0,350.0,33765.0,185.0,62377.0,529420.0,399.0,19.0
Nadia,108.0,350.0,30735.0,133.0,40939.0,319487.0,378.0,20.0
Paschim Bardhaman,41.0,280.0,17785.0,54.0,9544.0,74419.0,234.0,21.0
Purba Bardhaman,71.0,370.0,44975.0,89.0,39842.0,334313.0,558.0,22.0
Purulia,128.0,350.0,14705.0,150.0,21995.0,155598.0,172.0,23.0
