district,achievement,no_of_eligible_operative_ca_a_c,no_of_eligible_operative_sb_a_c,no_of_operative_ca_a_c_covered_with_at_least_one_digital_mode
Alipurduar,94.5,,2389143.0,
Bankura,90.65,,3883488.0,
Birbhum,92.36,,4078042.0,
Cooch Behar,92.84,,3833958.0,
Dakshin Dinajpur,91.99,,2012093.0,
Darjeeling,92.73,,1929715.0,
Hooghly,90.13,134378.0,6809628.0,121116.0
Jalpaiguri,92.33,,2925240.0,
Jhargram,85.59,,1049013.0,
Kalimpong,77.06,5217.0,320519.0,4020.0
Kolkata,86.03,509302.0,9156918.0,438136.0
Malda,90.36,,4582273.0,
Murshidabad,93.28,100486.0,7165455.0,
North 24 Parganas,91.6,248921.0,11382748.0,228007.0
Paschim Bardhaman,87.93,139613.0,3464487.0,122762.0
Paschim Medinipur,90.58,,5447390.0,
Purba Bardhaman,90.34,,4872570.0,
Purba Medinipur,83.32,124845.0,4887825.0,104024.0
Purulia,87.13,,3014708.0,
South 24 Parganas,93.1,133516.0,9234125.0,124297.0
Uttar Dinajpur,92.98,,3332596.0,
