district,amount,kcc_disbursement_during_01_04_2024_to_31_12_2024_fresh_renewal_no,kcc_outstanding_as_on_31_12_2024_no,of_achievement_no,target_no
Alipurduar,574.15,36236.0,73169.0,94.12,38500.0
Bankura,938.31,86163.0,214798.0,43.52,198000.0
Birbhum,1057.05,97104.0,251476.0,40.46,240000.0
Cooch Behar,1768.6,70207.0,171914.0,36.95,190000.0
Dakshin Dinajpur,580.87,53997.0,144693.0,46.95,115000.0
Darjeeling,270.05,29705.0,28572.0,160.57,18500.0
Hooghly,1971.25,274223.0,358966.0,69.42,395000.0
Howrah,562.72,55927.0,75060.0,58.87,95000.0
Jalpaiguri,842.32,41676.0,76546.0,104.19,40000.0
Jhargram,345.73,67138.0,103198.0,122.07,55000.0
Kalimpong,188.65,22294.0,24828.0,222.94,10000.0
Kolkata,162.14,1282.0,2730.0,,0.0
Malda,1034.1,117751.0,137149.0,107.05,110000.0
Murshidabad,1348.54,124530.0,228321.0,131.08,95000.0
Nadia,1901.05,133902.0,296541.0,121.73,110000.0
North 24 Parganas,1182.69,130710.0,262787.0,56.83,230000.0
Paschim Bardhaman,632.86,73979.0,168016.0,295.92,25000.0
Paschim Medinipur,1759.55,221169.0,361186.0,90.27,245000.0
Purba Bardhaman,1871.36,126449.0,359982.0,45.16,280000.0
Purba Medinipur,2445.49,506519.0,653234.0,67.54,750000.0
Purulia,535.23,48350.0,131795.0,138.14,35000.0
South 24 Parganas,1032.35,140867.0,200278.0,82.86,170000.0
Uttar Dinajpur,717.7,42933.0,148543.0,78.06,55000.0
