district,aap_target_for_fy_2024_25_no_of_programs,achievement_no_of_programs,total_to_be_trained,total_trained
Bankura,33.0,75.76,1000.0,77.0
Birbhum,33.0,69.7,1000.0,74.9
Cooch Behar,33.0,69.7,1000.0,73.0
Darjeeling,33.0,66.67,1000.0,69.6
Hooghly,33.0,87.88,1000.0,82.2
Howrah,33.0,75.76,1000.0,75.4
Jalpaiguri,33.0,45.45,1000.0,46.5
Malda,33.0,81.82,1000.0,85.2
Nadia,33.0,90.91,1000.0,79.9
North 24 Parganas,33.0,84.85,1000.0,91.7
Purba Bardhaman,33.0,78.79,1000.0,81.5
Purba Medinipur,33.0,90.91,1000.0,93.0
Purulia,33.0,87.88,1000.0,82.5
South 24 Parganas,33.0,103.03,1000.0,82.7
Uttar Dinajpur,33.0,90.91,1000.0,84.5
