district,amount_rs_cr,out_of_a_disbursed_by_bank_no,out_of_a_only_approved_by_bank_disbursement_pending_no,out_of_a_rejected_d,out_of_a_sanctioned_by_bank_no,pending_at_bank_level_verified_by_pmu_stcb_no,total_application_submitted_to_bank_a
Alipurduar,0.07,47.0,4.0,85.0,51.0,3.0,139.0
Bankura,13.39,428.0,30.0,378.0,458.0,38.0,874.0
Birbhum,13.72,256.0,38.0,214.0,294.0,20.0,528.0
Cooch Behar,4.22,96.0,18.0,236.0,114.0,17.0,367.0
Dakshin Dinajpur,2.1,41.0,11.0,87.0,52.0,22.0,161.0
Darjeeling,3.82,34.0,7.0,115.0,41.0,6.0,162.0
Hooghly,28.41,557.0,38.0,162.0,595.0,40.0,797.0
Howrah,4.19,65.0,5.0,55.0,70.0,10.0,135.0
Jalpaiguri,19.49,53.0,4.0,121.0,57.0,9.0,187.0
Jhargram,5.19,58.0,5.0,84.0,63.0,22.0,169.0
Kalimpong,0.12,6.0,2.0,6.0,8.0,10.0,24.0
Kolkata,6.53,17.0,6.0,10.0,23.0,4.0,37.0
Malda,10.55,101.0,26.0,321.0,127.0,76.0,524.0
Murshidabad,7.32,168.0,56.0,849.0,224.0,76.0,1149.0
Nadia,5.69,44.0,9.0,191.0,53.0,10.0,254.0
North 24 Parganas,13.44,102.0,21.0,366.0,123.0,26.0,515.0
Paschim Bardhaman,2.84,243.0,11.0,19.0,254.0,6.0,279.0
Paschim Medinipur,16.0,495.0,40.0,262.0,535.0,49.0,846.0
Purba Bardhaman,22.02,808.0,46.0,299.0,854.0,31.0,1184.0
Purba Medinipur,29.18,134.0,17.0,311.0,151.0,56.0,518.0
Purulia,1.96,49.0,10.0,116.0,59.0,22.0,197.0
South 24 Parganas,5.5,94.0,12.0,160.0,106.0,19.0,285.0
Uttar Dinajpur,6.02,71.0,10.0,131.0,81.0,19.0,231.0
