district,Total Advance,Overall CD Ratio,cd_ratio_as_on_december,cd_ratio_as_on_december_2024_deposit
Alipurduar,5495.1,62.33,66.59,8816.45
Bankura,11778.9,54.69,54.59,21537.0
Birbhum,11372.16,51.29,50.54,22171.72
Cooch Behar,13558.6,80.13,79.84,16921.05
Dakshin Dinajpur,4264.71,68.17,61.85,6256.11
Darjeeling,18766.79,68.52,66.35,27388.02
Hooghly,27031.13,45.27,45.31,59712.93
Howrah,28125.95,49.66,48.38,56634.39
Jalpaiguri,10172.48,76.6,80.1,13279.17
Jhargram,2462.96,46.84,46.93,5258.75
Kalimpong,1091.64,50.94,50.74,2142.93
Kolkata,413201.48,98.05,96.29,421430.29
Malda,10061.57,60.23,57.81,16704.21
Murshidabad,17861.59,59.19,56.59,30175.43
Nadia,17864.0,51.78,50.28,34501.0
Paschim Bardhaman,27721.57,52.51,51.04,52794.26
Paschim Medinipur,17602.35,50.61,50.18,34778.84
Purba Bardhaman,20646.22,53.66,53.09,38476.4
Purba Medinipur,20681.31,53.58,49.07,38599.55
Purulia,6229.6,49.83,49.28,12502.26
Uttar Dinajpur,6505.91,69.53,65.23,9356.31
