district,amount_in_cr,loan_disbursed_in_adopted_msme_cluster_no,loan_disbursed_in_handloom_cluster_no,loan_disbursed_in_kvib_cluster_no,loan_sanctioned_in_adopted_msme_cluster_no,loan_sponsored_sanct_ioned_in_handloom_cluster_no,loan_sponsored_sanct_ioned_in_kvib_cluster_no,proposals_sponsored_generated_in_msme_cluster_no
Alipurduar,0.0,688.0,421.0,0.0,771.0,502.0,0.0,1316.0
Bankura,1.63,136.0,45.0,70.0,136.0,45.0,70.0,136.0
Birbhum,0.0,1905.0,0.0,0.0,1905.0,0.0,0.0,2450.0
Cooch Behar,22.46,373.0,355.0,225.0,405.0,625.0,521.0,515.0
Dakshin Dinajpur,0.48,42.0,36.0,29.0,46.0,41.0,38.0,125.0
Darjeeling,0.0,60.0,0.0,0.0,60.0,0.0,0.0,60.0
Hooghly,0.0,94.0,135.0,0.0,94.0,135.0,0.0,94.0
Howrah,0.19,187.0,18.0,9.0,187.0,18.0,9.0,187.0
Jhargram,0.0,14.0,0.0,0.0,14.0,0.0,0.0,14.0
Kalimpong,0.0,14.0,0.0,0.0,14.0,0.0,0.0,44.0
Kolkata,0.32,28.0,0.0,56.0,28.0,0.0,56.0,69.0
Malda,0.1,62.0,105.0,8.0,71.0,172.0,10.0,145.0
Murshidabad,0.0,158.0,565.0,0.0,174.0,623.0,0.0,174.0
Nadia,20.2,1355.0,995.0,96.0,1402.0,1025.0,102.0,2355.0
North 24 Parganas,10.04,143.0,0.0,54.0,160.0,0.0,57.0,226.0
Paschim Bardhaman,0.0,37.0,0.0,0.0,37.0,0.0,0.0,37.0
Paschim Medinipur,154.69,307.0,44.0,3906.0,313.0,44.0,3914.0,1949.0
Purba Bardhaman,2.4,44.0,500.0,124.0,44.0,504.0,124.0,85.0
Purba Medinipur,0.0,133.0,1013.0,0.0,133.0,1034.0,0.0,133.0
Purulia,4.59,231.0,9.0,220.0,259.0,9.0,234.0,302.0
South 24 Parganas,0.0,70.0,0.0,0.0,76.0,0.0,0.0,122.0
Uttar Dinajpur,0.0,2385.0,61.0,0.0,2385.0,61.0,0.0,2413.0
