district,disbursement_amt,kishor_no_of_a_cs,sanctioned_amt,shishu_no_of_a_cs,tarun_no_of_a_cs,tarun_plus_no_of_a_cs,total_no_of_a_cs
Alipurduar,460.55,28398.0,461.33,27562.0,1228.0,0.0,57188.0
Bankura,536.64,23183.0,541.04,40107.0,2000.0,0.0,65290.0
Birbhum,1275.43,59247.0,1279.57,66898.0,3054.0,1.0,129200.0
Cooch Behar,790.41,45794.0,797.0,38687.0,1953.0,1.0,86435.0
Dakshin Dinajpur,381.38,21802.0,384.14,18950.0,1032.0,0.0,41784.0
Howrah,1748.2,94224.0,1756.1,107106.0,3141.0,2.0,204473.0
Jalpaiguri,827.97,44988.0,836.79,42785.0,2582.0,1.0,90356.0
Jhargram,165.19,5413.0,166.1,11468.0,790.0,0.0,17671.0
Kalimpong,39.27,1756.0,40.22,1354.0,120.0,0.0,3230.0
Kolkata,2503.23,97123.0,2531.73,119057.0,10758.0,12.0,226950.0
Malda,1092.3,74550.0,1098.21,53791.0,2352.0,0.0,130693.0
Murshidabad,2792.37,196770.0,2805.9,174815.0,5362.0,0.0,376947.0
Nadia,1631.88,91318.0,1644.06,106590.0,4065.0,0.0,201973.0
North 24 Parganas,2891.74,152154.0,2918.9,189530.0,8277.0,1.0,349962.0
Paschim Medinipur,1079.23,42270.0,1086.88,60793.0,5014.0,3.0,108080.0
Purba Bardhaman,1359.45,55360.0,1364.27,71777.0,4468.0,1.0,131606.0
Purba Medinipur,1363.3,64298.0,1377.29,62636.0,5919.0,3.0,132856.0
South 24 Parganas,1735.84,90858.0,1746.23,131073.0,4413.0,1.0,226345.0
Uttar Dinajpur,894.82,53357.0,898.14,42299.0,2265.0,0.0,97921.0
