District,subscribers_fy15,subscribers_fy16,subscribers_fy17,subscribers_fy18,subscribers_fy19
Agra,6187.0,6940.0,16840.0,17773.0,47740.0
Aligarh,4722.0,6251.0,13073.0,15555.0,39601.0
Ambedkar Nagar,2626.0,9025.0,11348.0,14375.0,37374.0
Amethi,296.0,394.0,1205.0,1421.0,3316.0
Amroha,2935.0,6285.0,9289.0,11532.0,30041.0
Auraiya,480.0,931.0,3030.0,4137.0,8578.0
Ayodhya,3524.0,7778.0,10372.0,16179.0,37853.0
Azamgarh,5123.0,13544.0,18417.0,18736.0,55820.0
Bahraich,3010.0,1852.0,7114.0,8571.0,20547.0
Ballia,2260.0,3153.0,7641.0,13584.0,26638.0
Balrampur,4852.0,3573.0,7518.0,5825.0,21768.0
Banda,1976.0,1577.0,5239.0,11057.0,19849.0
Barabanki,5966.0,7306.0,12089.0,14136.0,39497.0
Bareilly,5637.0,12478.0,18096.0,18154.0,54365.0
Basti,2804.0,3344.0,7620.0,7383.0,21151.0
Bhadohi,1456.0,4347.0,4143.0,4428.0,14374.0
Bijnor,4490.0,6130.0,11666.0,13506.0,35792.0
Budaun,5886.0,4950.0,7993.0,10230.0,29059.0
Bulandshahr,3166.0,1966.0,7948.0,9033.0,22113.0
Chandauli,1690.0,4316.0,6210.0,7838.0,20054.0
Chitrakoot,1371.0,1092.0,4724.0,6548.0,13735.0
Deoria,1928.0,2261.0,5563.0,10646.0,20398.0
Etah,2696.0,4658.0,10122.0,9422.0,26898.0
Etawah,858.0,812.0,2576.0,4220.0,8466.0
Farrukhabad,3791.0,4219.0,6563.0,7498.0,22071.0
Fatehpur,3318.0,12200.0,17122.0,24279.0,56919.0
Firozabad,1751.0,2429.0,5601.0,6316.0,16097.0
Gautam Buddha Nagar,7833.0,7888.0,16847.0,18471.0,51039.0
Ghaziabad,11113.0,5467.0,15594.0,18361.0,50535.0
Ghazipur,2303.0,10466.0,9236.0,14784.0,36789.0
Gonda,5929.0,5753.0,11682.0,10370.0,33734.0
Gorakhpur,9020.0,7134.0,16251.0,19335.0,51740.0
Hamirpur,1897.0,1675.0,6722.0,7730.0,18024.0
Hapur,56.0,148.0,254.0,179.0,637.0
Hardoi,4886.0,5029.0,13573.0,15373.0,38861.0
Hathras,1482.0,1598.0,3703.0,3328.0,10111.0
Jalaun,3373.0,4815.0,12016.0,8045.0,28249.0
Jaunpur,3716.0,9769.0,14262.0,22822.0,50569.0
Jhansi,3465.0,3442.0,5215.0,6909.0,19031.0
Kannauj,2881.0,3283.0,6352.0,7302.0,19818.0
Kanpur Dehat,5457.0,6787.0,11960.0,22324.0,46528.0
Kanpur Nagar,7095.0,8822.0,15547.0,17191.0,48655.0
Kasganj,0.0,11.0,95.0,136.0,242.0
Kaushambi,1193.0,2934.0,6636.0,10412.0,21175.0
Kheri,3695.0,2700.0,12494.0,14336.0,33225.0
Kushi Nagar,1651.0,3297.0,7431.0,8772.0,21151.0
Lalitpur,2212.0,2305.0,3974.0,4702.0,13193.0
Lucknow,15673.0,10631.0,29871.0,32789.0,88964.0
Maharajganj,1047.0,1981.0,6411.0,7108.0,16547.0
Mahoba,1433.0,1729.0,5895.0,5851.0,14908.0
Mainpuri,1617.0,2573.0,4293.0,3627.0,12110.0
Mathura,2566.0,3035.0,6936.0,6724.0,19261.0
Mau,1272.0,3707.0,6068.0,6930.0,17977.0
Meerut,5451.0,3196.0,13787.0,14518.0,36952.0
Mirzapur,2964.0,2794.0,11428.0,8988.0,26174.0
Moradabad,4888.0,12263.0,18442.0,21764.0,57357.0
Muzaffarnagar,7122.0,5501.0,11576.0,13869.0,38068.0
Pratapgarh,2559.0,6338.0,13070.0,14850.0,36817.0
Prayagraj,8429.0,10353.0,21955.0,43512.0,84249.0
Rae Bareli,5291.0,10769.0,22947.0,29127.0,68134.0
Rampur,2310.0,4321.0,9535.0,11450.0,27616.0
Saharanpur,5030.0,4579.0,9758.0,14935.0,34302.0
Sambhal,87.0,76.0,144.0,175.0,482.0
Sant Kabeer Nagar,1111.0,2931.0,8619.0,4880.0,17541.0
Shahjahanpur,2179.0,9086.0,14155.0,17937.0,43357.0
Shamli,38.0,61.0,21.0,41.0,161.0
Shravasti,866.0,803.0,2960.0,2939.0,7568.0
Sitapur,4491.0,2026.0,14049.0,10349.0,30915.0
Sonbhadra,1915.0,1622.0,6105.0,4663.0,14305.0
Sultanpur,3892.0,9718.0,17399.0,23187.0,54196.0
Unnao,5876.0,4920.0,10237.0,11550.0,32583.0
Varanasi,9716.0,12558.0,18238.0,16898.0,57410.0
