District,rural_no,urban_no,male_no,female_no,total_pmjdy_no,active_no,balance_amt_crore,zero_balance_no,rupay_issued_no
Agra,406008.0,870987.0,1276995.0,1137888.0,352.82,194073.0,1041160.0,986511.0,86.7
Aligarh,396724.0,477564.0,874288.0,779033.0,235.77,145997.0,736202.0,643301.0,82.58
Ambedkar Nagar,578858.0,257338.0,836196.0,784679.0,238.51,99651.0,774227.0,667655.0,85.09
Amethi,278256.0,55138.0,333394.0,305239.0,155.9,24866.0,291628.0,282615.0,92.59
Auraiya,240249.0,81196.0,321445.0,294236.0,102.65,41605.0,276382.0,247352.0,84.07
Ayodhya,584388.0,220447.0,804835.0,752945.0,296.55,70250.0,737069.0,664010.0,88.19
Azamgarh,786745.0,203596.0,990341.0,863989.0,338.28,114812.0,625639.0,738475.0,85.47
Baghpat,144158.0,64449.0,208607.0,187782.0,102.63,23912.0,174421.0,147218.0,78.4
Bahraich,592878.0,212870.0,805748.0,716378.0,249.83,62008.0,547656.0,550737.0,76.88
Ballia,532757.0,465776.0,998533.0,894242.0,329.66,160254.0,770142.0,780502.0,87.28
Balrampur,242391.0,94082.0,336473.0,289449.0,116.46,22604.0,239156.0,273393.0,94.45
Banda,443697.0,156931.0,600628.0,531707.0,157.14,57228.0,282706.0,372186.0,70.0
Barabanki,616035.0,213717.0,829752.0,768539.0,311.14,100561.0,714450.0,622784.0,81.03
Bareilly,697540.0,637919.0,1335459.0,1236145.0,387.66,116512.0,1200521.0,1092034.0,88.34
Basti,553324.0,93728.0,647052.0,571380.0,187.44,86435.0,535944.0,447188.0,78.26
Bijnor,717827.0,272943.0,990770.0,938362.0,245.17,192859.0,832793.0,822979.0,87.7
Budaun,634303.0,464027.0,1098330.0,992978.0,223.49,119162.0,953479.0,774105.0,77.96
Bulandshahr,688096.0,308527.0,996623.0,930530.0,276.95,140231.0,875506.0,696195.0,74.82
Chandauli,441307.0,148538.0,589845.0,525671.0,175.59,82357.0,441340.0,457498.0,87.03
Chitrakoot,188310.0,162908.0,351218.0,312644.0,85.38,38301.0,188279.0,253986.0,81.24
Deoria,481537.0,275178.0,756715.0,676368.0,210.06,128645.0,598860.0,550738.0,81.43
Etah,264336.0,321856.0,586192.0,521322.0,154.58,124292.0,480398.0,421866.0,80.92
Etawah,258377.0,170566.0,428943.0,393908.0,131.4,73529.0,368953.0,339745.0,86.25
Farrukhabad,316739.0,289698.0,606437.0,547869.0,152.54,91227.0,523242.0,451986.0,82.5
Fatehpur,506749.0,211027.0,717776.0,670658.0,354.36,41820.0,654221.0,571138.0,85.16
Firozabad,283274.0,614771.0,898045.0,787997.0,175.84,171816.0,750139.0,641419.0,81.4
Gautam Buddha Nagar,196937.0,562259.0,759196.0,704102.0,282.92,119296.0,677068.0,607933.0,86.34
Ghaziabad,155752.0,639724.0,795476.0,729981.0,334.1,96697.0,697307.0,586565.0,80.35
Ghazipur,714010.0,230304.0,944314.0,825420.0,340.54,157908.0,653405.0,712064.0,86.27
Gonda,497658.0,262311.0,759969.0,697342.0,301.74,46681.0,543865.0,591236.0,84.78
Gorakhpur,767482.0,511511.0,1278993.0,1124004.0,330.15,241497.0,960943.0,883661.0,78.62
Hamirpur,178552.0,133274.0,311826.0,281987.0,99.41,19666.0,256748.0,237501.0,84.22
Hapur,117460.0,74287.0,191747.0,169866.0,52.92,32571.0,162336.0,128284.0,75.52
Hardoi,767989.0,464716.0,1232705.0,1116850.0,371.32,137559.0,1042059.0,880993.0,78.88
Jalaun,399006.0,150057.0,549063.0,505804.0,148.81,21572.0,395356.0,419116.0,82.86
Jaunpur,1181162.0,368889.0,1550051.0,1371661.0,434.99,320100.0,924397.0,1183973.0,86.32
Jhansi,261577.0,271044.0,532621.0,494013.0,149.95,81735.0,476475.0,406326.0,82.25
Kannauj,275216.0,244681.0,519897.0,462446.0,156.27,78170.0,435996.0,395916.0,85.61
Kanpur Dehat,308352.0,179771.0,488123.0,450778.0,144.14,48414.0,441513.0,391114.0,86.76
Kanpur Nagar,307424.0,795824.0,1103248.0,1035081.0,428.86,118430.0,988944.0,864159.0,83.49
Kaushambi,331255.0,136810.0,468065.0,438862.0,159.38,39117.0,429156.0,368806.0,84.04
Kheri,958355.0,357669.0,1316024.0,1166065.0,324.41,82529.0,743323.0,1018178.0,87.32
Kushi Nagar,590543.0,180731.0,771274.0,694590.0,200.8,162524.0,562007.0,568867.0,81.9
Lalitpur,320708.0,119582.0,440290.0,401864.0,86.51,66896.0,381947.0,336450.0,83.72
Lucknow,346309.0,785146.0,1131455.0,1044465.0,543.75,154575.0,953535.0,856507.0,82.0
Mahoba,192797.0,94263.0,287060.0,257947.0,116.8,16304.0,228397.0,213184.0,82.65
Mainpuri,315750.0,398318.0,714068.0,623872.0,150.06,133880.0,601560.0,510586.0,81.84
Mathura,300029.0,315549.0,615578.0,552907.0,177.38,88071.0,526226.0,462597.0,83.67
Mau,641192.0,259013.0,900205.0,778366.0,265.48,162394.0,540297.0,698339.0,89.72
Meerut,384579.0,477183.0,861762.0,779224.0,300.19,109656.0,735716.0,637397.0,81.8
Mirzapur,648135.0,200870.0,849005.0,761692.0,272.23,53784.0,531144.0,624416.0,81.98
Moradabad,197590.0,458600.0,656190.0,604009.0,151.98,109077.0,579426.0,530474.0,87.83
Muzaffarnagar,423696.0,365218.0,788914.0,723987.0,250.61,77400.0,685370.0,576182.0,79.58
Pilibhit,419153.0,256041.0,675194.0,640448.0,172.73,71430.0,617833.0,563409.0,87.97
Pratapgarh,847704.0,129796.0,977500.0,886972.0,428.84,92594.0,703421.0,777456.0,87.65
Prayagraj,1238871.0,699263.0,1938134.0,1782080.0,727.06,214333.0,1727010.0,1494955.0,83.89
Rae Bareli,530438.0,186977.0,717415.0,681774.0,364.2,52927.0,649297.0,625438.0,91.74
Rampur,179639.0,256538.0,436177.0,412428.0,133.69,53858.0,397151.0,353692.0,85.76
Saharanpur,553556.0,534995.0,1088551.0,1003813.0,273.27,174155.0,897791.0,822268.0,81.91
Sambhal,247408.0,184526.0,431934.0,389876.0,66.68,109675.0,357432.0,299772.0,76.89
Sant Kabeer Nagar,326488.0,98344.0,424832.0,375999.0,117.69,65856.0,325511.0,302656.0,80.49
Shahjahanpur,641224.0,465006.0,1106230.0,1046064.0,278.68,114050.0,1035826.0,882617.0,84.38
