District,col_1,col_2,col_3
Agra,1317040.0,1051315.0,79.82
Aligarh,812753.09,611532.0,75.24
Ambedkar Nagar,154758.02,120833.59,78.08
Amethi,130018.58,85222.0,65.55
Amroha,274544.0,231714.0,84.4
Auraiya,55971.6,36242.3,64.75
Ayodhya,202180.05,171862.0,85.0
Azamgarh,258680.0,195330.01,75.51
Baghpat,325235.21,246095.88,75.67
Bahraich,144458.66,120637.63,83.51
Ballia,209440.0,151419.55,72.3
Balrampur,179920.0,179628.4,99.84
Banda,182966.74,93790.0,51.26
Barabanki,321717.79,140201.57,43.58
Bareilly,574271.68,367524.0,64.0
Basti,180176.97,116804.0,64.83
Bhadohi,141006.0,145816.0,103.41
Bijnor,775854.45,504169.0,64.98
Budaun,258353.0,265915.0,102.93
Chitrakoot,81405.0,54238.22,66.63
Etawah,101698.0,93905.0,92.34
Farrukhabad,185000.0,84568.0,45.71
Fatehpur,212328.8,161374.65,76.0
Firozabad,363885.0,277656.0,76.3
Gautam Buddha Nagar,1026169.18,1085016.3,105.73
Ghaziabad,576731.11,564692.0,97.91
Ghazipur,189058.0,218034.78,115.33
Gonda,274105.22,229850.66,83.85
Hamirpur,173649.17,107045.32,61.64
Hapur,304694.79,274917.11,90.23
Hardoi,454549.21,360139.33,79.23
Hathras,357306.0,260835.0,73.0
Kanpur Nagar,142893.98,120374.61,84.24
Kaushambi,48716.0,40515.0,83.17
Kheri,507290.0,494613.88,97.5
Kushi Nagar,278069.59,229912.0,82.68
Lalitpur,137041.0,97081.56,70.84
Lucknow,611434.82,934236.3,152.79
Maharajganj,169666.23,126522.0,74.57
Mahoba,81348.6,48892.85,60.1
Mainpuri,156371.0,105264.0,67.32
Mau,165030.0,165204.33,100.11
Meerut,841175.15,795289.0,94.54
Mirzapur,171497.0,161431.0,94.13
Moradabad,444411.46,121228.0,27.28
Pilibhit,375654.3,175569.49,46.74
Pratapgarh,179793.0,126462.64,70.34
Prayagraj,353483.0,339415.78,96.02
Rae Bareli,196947.54,194889.93,98.96
Rampur,452237.67,425024.79,93.98
Saharanpur,731300.72,787691.41,107.71
Sambhal,282763.32,246095.89,87.03
Shahjahanpur,405939.61,257716.93,63.49
Shamli,232620.0,200686.18,86.27
Shravasti,63500.0,42720.0,67.28
Siddharth Nagar,271962.94,257294.0,94.61
Sitapur,337271.05,286077.0,84.82
Sonbhadra,95589.17,67162.64,70.26
Sultanpur,136157.19,97872.0,71.88
Unnao,176644.05,132822.0,75.19
Varanasi,312274.0,428531.37,137.23
