District,target_no,target_amt,achievement_no,achievement_amt,achievement_pct_no,achievement_pct_amt
Ambedkar Nagar,3601.0,6656.0,10257.0,456.0,3912.0,4368.0
Amroha,18221.0,61317.0,79538.0,260.0,2234.0,2494.0
Auraiya,7665.0,32280.0,39945.0,271.0,2325.0,2596.0
Ayodhya,6070.0,28580.0,34650.0,458.0,,
Bahraich,0.0,58165.0,58165.0,0.0,6505.0,6505.0
Banda,3684.0,53980.0,57664.0,355.0,3046.0,3401.0
Chandauli,861.0,16659.0,17520.0,257.0,2203.0,2460.0
Ghazipur,18265.0,51245.0,69510.0,559.0,4796.0,5355.0
Gonda,0.0,55870.0,55870.0,0.0,6434.0,6434.0
Hardoi,0.0,80254.0,80254.0,817.0,7011.0,7828.0
Jaunpur,0.0,57366.0,57366.0,0.0,8436.0,8436.0
Kannauj,6090.0,34640.0,40730.0,345.0,2958.0,3303.0
Kaushambi,0.0,35120.0,35120.0,288.0,2474.0,2762.0
Kheri,31944.0,83463.0,115407.0,822.0,7049.0,7871.0
Mainpuri,1031.0,65163.0,,,,
Moradabad,8015.0,46020.0,54035.0,339.0,2910.0,3249.0
Pratapgarh,2271.0,42146.0,44417.0,655.0,5617.0,6272.0
Shahjahanpur,8430.0,55021.0,63451.0,549.0,4712.0,5261.0
Unnao,46261.0,66512.0,114773.0,653.0,5605.0,6258.0
