District,target_no,target_amt,achievement_no
Agra,288.0,144.32,731.89
Aligarh,218.0,99.34,399.8
Ambedkar Nagar,386.0,126.34,263.18
Amethi,221.0,120.37,165.27
Auraiya,62.0,17.43,357.91
Ayodhya,246.0,118.7,587.62
Azamgarh,259.0,160.88,765.77
Baghpat,336.0,132.28,247.81
Balrampur,44.0,10.2,314.88
Barabanki,108.0,38.1,245.14
Basti,281.0,117.78,691.05
Bhadohi,43.0,40.89,164.5
Bijnor,293.0,104.56,662.46
Bulandshahr,390.0,132.65,477.91
Chandauli,256.0,85.07,522.84
Etah,39.0,13.1,239.31
Etawah,208.0,72.26,462.47
Farrukhabad,42.0,11.24,184.9
Fatehpur,995.0,312.91,950.93
Firozabad,30.0,34.47,168.19
Gautam Buddha Nagar,52.0,18.22,168.95
Ghaziabad,250.0,123.67,437.85
Ghazipur,91.0,63.66,632.88
Hapur,3.0,1.5,1.01
Hardoi,212.0,116.16,743.09
Jhansi,325.0,224.77,902.74
Kannauj,116.0,44.42,252.67
Kanpur Nagar,150.0,61.18,389.83
Kaushambi,247.0,158.14,353.65
Lalitpur,215.0,272.61,702.09
Maharajganj,124.0,71.54,929.97
Mahoba,114.0,39.12,882.01
Mainpuri,161.0,58.44,319.42
Mathura,133.0,126.82,618.36
Meerut,166.0,88.56,493.54
Moradabad,42.0,33.49,268.24
Muzaffarnagar,490.0,291.89,661.41
Pratapgarh,253.0,104.84,375.42
Rampur,72.0,19.12,182.34
Sambhal,0.0,0.0,8.1
Shahjahanpur,143.0,57.05,433.13
Shamli,7.0,3.41,2.7
Siddharth Nagar,46.0,5.26,293.81
Sonbhadra,502.0,182.57,840.08
Unnao,145.0,89.0,324.35
Varanasi,444.0,231.79,833.33
