District,claims_paid_no,claims_rejected_no,claims_under_process_no,claims_pending_no,claims_total_no,claims_amount_crore
Agra,581.0,10.0,42.0,5.0,638.0,1162.0
Aligarh,532.0,1.0,24.0,1.0,558.0,1064.0
Ambedkar Nagar,132.0,6.0,19.0,0.0,157.0,264.0
Amethi,64.0,0.0,4.0,0.0,68.0,128.0
Auraiya,97.0,1.0,5.0,0.0,103.0,194.0
Ayodhya,283.0,13.0,31.0,0.0,327.0,566.0
Azamgarh,173.0,4.0,21.0,1.0,199.0,346.0
Baghpat,155.0,0.0,4.0,0.0,159.0,310.0
Bahraich,222.0,31.0,19.0,3.0,275.0,444.0
Ballia,165.0,0.0,6.0,1.0,172.0,330.0
Balrampur,59.0,3.0,3.0,0.0,65.0,118.0
Banda,163.0,21.0,18.0,1.0,203.0,326.0
Barabanki,499.0,5.0,49.0,1.0,554.0,998.0
Bareilly,579.0,18.0,62.0,0.0,659.0,1158.0
Basti,98.0,2.0,6.0,0.0,106.0,196.0
Bijnor,300.0,6.0,16.0,6.0,328.0,600.0
Budaun,162.0,4.0,11.0,1.0,178.0,324.0
Bulandshahr,300.0,25.0,26.0,2.0,353.0,600.0
Chandauli,123.0,0.0,5.0,1.0,129.0,246.0
Chitrakoot,26.0,14.0,4.0,0.0,44.0,52.0
Deoria,141.0,1.0,6.0,0.0,148.0,282.0
Etah,371.0,0.0,23.0,1.0,395.0,742.0
Etawah,102.0,0.0,7.0,0.0,109.0,204.0
Farrukhabad,332.0,1.0,27.0,1.0,361.0,664.0
Fatehpur,127.0,1.0,22.0,2.0,152.0,254.0
Firozabad,149.0,4.0,9.0,3.0,165.0,298.0
Gautam Buddha Nagar,261.0,7.0,13.0,3.0,284.0,522.0
Ghaziabad,555.0,13.0,11.0,1.0,580.0,1110.0
Ghazipur,194.0,1.0,7.0,1.0,203.0,388.0
Gonda,133.0,2.0,16.0,0.0,151.0,266.0
Gorakhpur,300.0,7.0,11.0,2.0,320.0,600.0
Hamirpur,54.0,3.0,7.0,1.0,65.0,108.0
Hapur,118.0,4.0,1.0,1.0,124.0,236.0
Hardoi,290.0,4.0,17.0,1.0,312.0,580.0
Jalaun,127.0,36.0,14.0,1.0,178.0,254.0
Jaunpur,174.0,2.0,9.0,2.0,187.0,348.0
Jhansi,115.0,3.0,6.0,0.0,124.0,230.0
Kannauj,120.0,1.0,9.0,1.0,131.0,240.0
Kanpur Dehat,117.0,1.0,14.0,0.0,132.0,234.0
Kanpur Nagar,500.0,8.0,29.0,2.0,539.0,1000.0
Kaushambi,77.0,0.0,9.0,0.0,86.0,154.0
Kheri,428.0,82.0,33.0,2.0,545.0,856.0
Kushi Nagar,127.0,0.0,4.0,0.0,131.0,254.0
Lucknow,782.0,23.0,17.0,5.0,827.0,1564.0
Mahoba,76.0,45.0,9.0,0.0,130.0,152.0
Mainpuri,178.0,0.0,25.0,2.0,205.0,356.0
Mathura,293.0,2.0,12.0,0.0,307.0,586.0
Mau,97.0,1.0,3.0,1.0,102.0,194.0
Meerut,600.0,19.0,20.0,4.0,643.0,1200.0
Mirzapur,193.0,19.0,19.0,0.0,231.0,386.0
Moradabad,622.0,13.0,31.0,6.0,672.0,1244.0
Muzaffarnagar,376.0,11.0,21.0,6.0,414.0,752.0
Pilibhit,191.0,5.0,16.0,0.0,212.0,382.0
Pratapgarh,239.0,5.0,25.0,0.0,269.0,478.0
Prayagraj,523.0,13.0,49.0,5.0,590.0,1046.0
Rae Bareli,329.0,10.0,22.0,1.0,362.0,658.0
Rampur,307.0,5.0,31.0,1.0,344.0,614.0
Saharanpur,386.0,14.0,21.0,2.0,423.0,772.0
Sambhal,197.0,13.0,6.0,3.0,219.0,394.0
Sant Kabeer Nagar,43.0,0.0,1.0,0.0,44.0,86.0
Shahjahanpur,266.0,7.0,39.0,2.0,314.0,532.0
Shamli,127.0,9.0,7.0,1.0,144.0,254.0
Shravasti,47.0,6.0,6.0,0.0,59.0,94.0
Siddharth Nagar,36.0,1.0,2.0,0.0,39.0,72.0
Sitapur,380.0,48.0,31.0,2.0,461.0,760.0
Sonbhadra,100.0,14.0,12.0,0.0,126.0,200.0
Sultanpur,253.0,4.0,27.0,0.0,284.0,506.0
Unnao,293.0,0.0,24.0,2.0,319.0,586.0
