District,shishu_no,shishu_amt,kishore_no,kishore_amt,tarun_no,tarun_amt,total_no,total_amt
Agra,4981.0,235442.0,240423.0,95.4,,,,
Aligarh,4771.0,155089.52,159860.52,52.79,151.9,140.89,1744.0,143.33
Ambedkar Nagar,1235.0,43103.87,44338.87,10.51,80.36,75.33,526.0,44.09
Amethi,100.0,26976.89,27076.89,4.88,75.38,72.04,692.0,55.86
Amroha,6890.0,101471.11,108361.11,7.58,117.42,109.42,1165.0,95.8
Auraiya,1617.13,15349.84,16966.97,3.31,19.37,16.66,205.0,16.1
Ayodhya,940.0,68371.72,69311.72,22.81,117.67,112.09,925.0,78.63
Azamgarh,100.0,97268.41,97368.41,8.87,136.65,130.62,960.0,77.35
Baghpat,12694.0,33.61,31.46,3344.0,55.32,49.15,457.0,37.27
Bahraich,100.0,77544.63,77644.63,4.81,49.9,46.5,455.0,37.58
Ballia,100.0,75245.49,75345.49,7.86,85.1,81.43,690.0,58.95
Balrampur,0.0,82339.92,82339.92,3469.0,68.41,57.4,527.0,42.84
Banda,2366.0,56078.68,58444.68,4.73,32.39,31.34,330.0,26.82
Barabanki,2668.64,123721.08,126389.72,13.24,151.46,141.2,831.0,66.74
Bareilly,6689.31,180010.03,186699.34,42.48,185.97,177.18,1804.0,140.9
Basti,100.0,81362.84,81462.84,7.65,47.05,43.37,490.0,40.31
Bhadohi,186.0,570.95,33.0,5.94,68.95,64.29,553.0,46.16
Bijnor,34000.0,248407.26,282407.26,28.42,136.06,113.94,1486.0,122.14
Budaun,1061.89,112899.39,113961.28,13.94,68.36,57.01,566.0,45.21
Bulandshahr,105.0,498.86,201.0,36.97,108.78,97.82,1191.0,99.69
Chandauli,300.0,49887.85,50187.85,7.16,74.26,71.88,404.0,32.8
Chitrakoot,101.0,260.53,4.0,0.55,16.33,15.73,143.0,11.19
Deoria,100.0,101821.42,101921.42,12.43,94.64,88.81,1026.0,87.09
Etah,5291.02,124321.0,129612.02,12.21,56.44,51.96,499.0,41.44
Etawah,1865.5,35818.23,37683.73,11.52,29.74,26.14,324.0,27.28
Farrukhabad,2795.0,46893.77,49688.77,10.54,67.35,61.84,392.0,31.99
Fatehpur,100.0,81209.28,81309.28,12.31,111.87,104.08,695.0,55.96
Firozabad,6748.9,106704.5,113453.4,11.62,73.03,66.66,736.0,60.88
Gautam Buddha Nagar,312.0,4888.35,254.0,65.22,135.67,125.01,2938.0,227.56
Ghaziabad,6006.0,17007.07,23013.07,88.41,210.47,200.37,3918.0,309.5
Ghazipur,2015.0,44329.9,46344.9,6.58,135.52,130.86,778.0,61.95
Gonda,0.0,158571.11,158671.11,6.34,87.78,80.25,690.0,55.48
Gorakhpur,100.0,134719.84,134819.84,43.34,208.18,198.69,2929.0,243.84
Hamirpur,1634.1,62717.46,64351.56,2.6,24.13,22.77,218.0,18.07
Hapur,32.0,8.96,27.0,8.15,51.21,47.55,490.0,38.66
Hardoi,100.0,169294.66,169394.66,20.81,104.91,97.35,769.0,62.93
Hathras,82.0,419.16,56.0,10.78,67.96,63.6,511.0,42.04
Jalaun,6450.76,70418.45,76869.21,5.97,27.73,24.92,349.0,27.73
Jaunpur,100.0,43141.37,43241.37,8.25,174.19,167.43,952.0,76.04
Jhansi,3301.26,100475.37,103776.63,28.55,97.64,82.17,925.0,73.98
Kannauj,4186.0,39775.64,43961.64,4.91,73.98,64.53,360.0,28.45
Kanpur Dehat,739.12,50971.29,51710.41,7.34,106.43,99.3,719.0,51.14
Kanpur Nagar,794.0,5855.04,425.0,93.38,218.95,205.93,3678.0,294.32
