district,no_of_pmjdy_population_no_of_no_of_no_of_accounts_per_pmjdy_sl_district_census_pmjdy_one_lakh_accounts
Dhalai,123990
Gomati,109528
Khowai,88645
North Tripura,139346
Sepahijala,87702
South Tripura,126066
Unakoti,91703
West Tripura,262284
