district,cd_ratio,no_of_brs,total_deposit,total_advance,c_d_ratio,district
Dhalai,98,50,152639.3,149839.47,98,98
Gomati,69,66,263203.53,182279.27,69,69
Khowai,65,45,184067.62,118813.87,65,65
North Tripura,59,52,238029.28,139446.58,59,59
Sepahijala,64,63,243560.37,156395.32,64,64
South Tripura,63,65,268164.13,169419.85,63,63
Unakoti,68,36,143127.41,97768.06,68,68
West Tripura,42,219,2543425.84,1073413.04,42,42
