district,enrolment_of_apy_male,enrolment_of_apy_female
Dhalai,8592,8961
Gomati,13700,11929
Khowai,7159,8432
North Tripura,12347,12622
Sepahijala,10548,10717
South Tripura,19680,19263
Unakoti,6609,6461
West Tripura,32278,31896
