District,population,literacy,density,urbanization
Gyalshing,1.36,79.55,55,9.47
Pakyong,0.83,82.17,73,11.23
Namchi,1.46,80.48,99,13.56
Mangan,0.43,76.93,25,7.89
Gangtok,2.83,84.63,302,25.17
Soreng,0.92,78.34,48,8.92
