district,loan_amount_disbursed,number_of_applications_pending_with_banks_as_on_31_03_2015,number_of_applications_rejected_by_the_bank_in_2015_16,number_of_applications_sent_to_bank_in_2015_16,number_of_wccs_issued_by_banks_in_2015_16,total_number_of_applications_pending_with_bank_3_4_5_6
Malda,0.0,140.0,0.0,0.0,0.0,140.0
Murshidabad,0.0,164.0,200.0,460.0,50.0,374.0
