district,no_of_literacy_camp_conducted_as_per_rbi_guidelines_using_standardized_financial_literacy_material_of_rbi,no_of_persons_participated,no_of_rural_branches_in_the_district,no_of_rural_branches_which_have_conducted_literacy_camps_as_per_rbi_guidelines_using_standardized_financial_litewracy_material_of_rbi_in_the_quarter,out_of_persons_participated_no_of_persons_already_have_bank_account_at_the_time_of_attending_the_camp,out_of_persons_participated_no_of_persons_opened_bank_account_after_attending_the_camp
Alipurduar,26.0,1134.0,49.0,31.0,644.0,274.0
Bankura,121.0,1314.0,263.0,86.0,944.0,324.0
Birbhum,38.0,2041.0,210.0,58.0,1684.0,261.0
Cooch Behar,222.0,9046.0,141.0,128.0,7214.0,870.0
Dakshin Dinajpur,77.0,1121.0,79.0,68.0,846.0,248.0
Darjeeling,84.0,2546.0,70.0,38.0,1684.0,848.0
Hooghly,94.0,3464.0,198.0,97.0,2264.0,746.0
Howrah,124.0,5347.0,192.0,136.0,4121.0,448.0
Jalpaiguri,12.0,1844.0,23.0,16.0,1212.0,488.0
Malda,35.0,1646.0,178.0,26.0,1064.0,467.0
Murshidabad,541.0,16456.0,254.0,244.0,11653.0,1512.0
Nadia,84.0,1384.0,204.0,134.0,844.0,446.0
Paschim Medinipur,394.0,11324.0,319.0,274.0,9241.0,2066.0
Purba Bardhaman,7.0,1046.0,349.0,18.0,988.0,54.0
Purba Medinipur,139.0,16746.0,291.0,96.0,1968.0,846.0
Purulia,118.0,4212.0,121.0,84.0,2946.0,1024.0
Uttar Dinajpur,52.0,876.0,93.0,46.0,620.0,234.0
