district,Overall CD Ratio,cd_ratio_june_2016_amount_in_rs_crore,variation_over_june
Alipurduar,30.0,3253.48,12.0
Bankura,27.0,8623.97,7.0
Birbhum,35.0,9029.14,4.0
Cooch Behar,55.0,4901.91,11.0
Dakshin Dinajpur,56.0,2576.43,1.0
Darjeeling,55.0,11694.66,3.0
Hooghly,21.0,28827.0,4.0
Howrah,68.0,23973.34,-39.0
Jalpaiguri,40.0,10471.21,32.0
Kolkata,91.0,252089.54,1.0
Malda,46.0,6477.66,0.0
Murshidabad,47.0,9786.6,4.0
Nadia,52.0,17116.84,-9.0
Paschim Medinipur,40.0,18010.31,1.0
Purba Bardhaman,37.0,45664.94,4.0
Purba Medinipur,48.0,15165.41,-1.0
Purulia,43.0,6607.28,-2.0
Uttar Dinajpur,56.0,3680.2,3.0
