district,achievement_as_on_june_2016_no,achievement_no,amt,amt_rs_in_lac,target_for_2016_17_no
Alipurduar,476.0,22.0,20.0,610.57,2174.0
Bankura,2106.0,12.0,10.0,2244.19,17910.0
Birbhum,1650.0,6.0,8.0,3250.03,27397.0
Cooch Behar,1563.0,12.0,12.0,1903.86,12526.0
Dakshin Dinajpur,696.0,12.0,11.0,838.88,6035.0
Darjeeling,212.0,12.0,13.0,283.89,1764.0
Hooghly,2375.0,12.0,8.0,2210.63,20528.0
Howrah,1024.0,7.0,7.0,1418.19,14418.0
Jalpaiguri,682.0,11.0,11.0,857.05,6045.0
Malda,1675.0,19.0,15.0,1656.05,8701.0
Murshidabad,3392.0,25.0,23.0,3957.18,13608.0
Nadia,2015.0,12.0,9.0,1862.25,16334.0
North 24 Parganas,1397.0,11.0,9.0,1759.94,12626.0
Paschim Medinipur,1259.0,9.0,8.0,1442.06,13988.0
Purba Bardhaman,1199.0,6.0,10.0,2418.24,18829.0
Purba Medinipur,3116.0,15.0,16.0,4519.83,20410.0
Purulia,945.0,7.0,7.0,1054.06,13768.0
South 24 Parganas,2219.0,16.0,13.0,2044.96,13787.0
Uttar Dinajpur,1247.0,19.0,19.0,1591.41,6630.0
