district,in_process,no_of_candidates_trained,no_of_training_conducted,of_settlement,own,self_employed_bank,settled,wage_employed
Bankura,1538.0,4006.0,177.0,59.0,975.0,1382.0,2357.0,517.0
Birbhum,3405.0,8265.0,193.0,59.0,1318.0,3542.0,4860.0,6.0
Cooch Behar,269.0,1489.0,57.0,82.0,611.0,609.0,1220.0,
Darjeeling,205.0,858.0,34.0,76.0,196.0,457.0,653.0,
Hooghly,436.0,3737.0,141.0,73.0,419.0,2307.0,2726.0,
Howrah,1688.0,9869.0,400.0,81.0,6547.0,1418.0,7959.0,482.0
Jalpaiguri,516.0,3206.0,167.0,84.0,168.0,2522.0,2690.0,9.0
Malda,1386.0,3615.0,117.0,62.0,748.0,1481.0,2229.0,156.0
Murshidabad,1595.0,5199.0,175.0,69.0,1776.0,1828.0,3604.0,
Nadia,875.0,2721.0,107.0,68.0,1196.0,650.0,1846.0,
North 24 Parganas,79.0,3594.0,133.0,98.0,1482.0,2032.0,3514.0,
Paschim Medinipur,1153.0,3871.0,108.0,70.0,645.0,2066.0,2711.0,121.0
Purba Bardhaman,917.0,3464.0,135.0,74.0,1251.0,1296.0,2547.0,
Purba Medinipur,816.0,3408.0,116.0,76.0,1315.0,1276.0,2591.0,26.0
Purulia,1019.0,2291.0,92.0,53.0,332.0,874.0,1206.0,
South 24 Parganas,1450.0,4960.0,187.0,70.0,473.0,3017.0,3490.0,33.0
Uttar Dinajpur,930.0,2889.0,117.0,68.0,508.0,1450.0,1958.0,7.0
