district,No. of Aadhaar Seeded,Female No.,Male No.,rupay_card_account,rural,Total PMJDY No.,total_amount_rs_in_crore,urban,No. of Zero Balance A/C
Alipurduar,23229.0,28531.0,26353.0,54141.0,34347.0,54884.0,15.25,20537.0,9501.0
Bankura,226472.0,487411.0,497774.0,590018.0,859506.0,985185.0,213.81,125679.0,205889.0
Birbhum,313788.0,404194.0,548833.0,656559.0,714856.0,953027.0,152.25,238171.0,205972.0
Dakshin Dinajpur,145193.0,248546.0,252982.0,337538.0,445664.0,501528.0,72.12,55864.0,126830.0
Jalpaiguri,359186.0,484667.0,425161.0,682893.0,501787.0,909828.0,201.4,408041.0,201787.0
Kolkata,310274.0,315857.0,413242.0,602672.0,13757.0,729099.0,541.29,715342.0,120360.0
Malda,342363.0,614369.0,564387.0,715771.0,1094352.0,1178756.0,243.66,84404.0,279467.0
Murshidabad,624085.0,777337.0,757507.0,990671.0,1012556.0,1534844.0,353.47,522288.0,372450.0
Nadia,374937.0,651307.0,668669.0,924079.0,839687.0,1319976.0,339.08,480289.0,285310.0
North 24 Parganas,633188.0,858866.0,878184.0,1338045.0,909679.0,1737050.0,656.43,827371.0,299717.0
Paschim Medinipur,353330.0,555562.0,605827.0,801350.0,939055.0,1161389.0,318.44,222334.0,153134.0
Purba Bardhaman,417670.0,548446.0,688568.0,880852.0,825528.0,1237014.0,345.17,411486.0,231478.0
Purba Medinipur,244797.0,497553.0,531449.0,742428.0,873770.0,1029002.0,268.2,155232.0,146201.0
Uttar Dinajpur,228553.0,553777.0,540766.0,685244.0,874234.0,1094543.0,115.98,220309.0,355892.0
